Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Corp.Security,,"1,000.00",,,,,,,,,,,,,"1,000.00"
"Executive Admin 29,350.00",,"36,600.00","5,600.00",,,,,,,,,,,,"71,550.00"
"Finance Sys 2,640.00",,,,,,,,,,,,,,,"2,640.00"
Inst Sales Plan 75.00,,,,,,,,,,,,,,,75.00
"National Accts 11,175.00",,"6,070.00","30,200.00","31,700.00","35,000.00","30,658.00","75,000.00",,,,,,,,"219,803.00"
"Other 3,250.00",,,548.61,,,,,,,,,,,,"3,798.61"
Pkg Design &Dev,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Rhodes Sale Dst,,,,,,,,,"26,655.00",,,,,,"26,655.00"
SAP Admin,,"1,000.00",,,,,,,,,,,,,"1,000.00"
HEALTHCARE DISTRIBUTION MANAGEMENT ASSOCIATION,,,,,,,"25,000.00","25,000.00",,"3,500.00","40,000.00","40,000.00","60,586.50","25,785.00","219,871.50"
Market Strategies,,,,,,,"10,000.00","15,000.00",,,,,,,"25,000.00"
National Accts,,,,,,,"15,000.00",,,,"40,000.00","40,000.00","60,586.50","25,785.00","181,371.50"
Sales Force,,,,,,,,"10,000.00",,,,,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,,,"3,500.00",,,,,"3,500.00"
