Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Promotions RX,,,"37,593.60",,,,,,,,,,,,,,"37,593.60"
LELE,,,550.00,,,,,,,,,,,,,,550.00
MICHIGAN ASSOC OF OSTEOPATHIC FAMILY PHYSICIANS,"1 ,500.00",,"1,500.00",750.00,,,"1,500.00",,,,,,,,,,"5,250.00"
Conventions,"1,500.00",,"1,500.00",750.00,,,,,,,,,,,,,"3,750.00"
Medical Ed,,,,,,,"1,500.00",,,,,,,,,,"1,500.00"
MICHIGAN OSTEOPATHIC ASSOC,"1 ,275.00",,"2,550.00","1,275.00",,,,,,"1,350.00",,700.00,"1,450.00","2,800.00",,,"11,400.00"
Conventions,"1,275.00",,"2,550.00","1,275.00",,,,,,"1,350.00",,700.00,"1,450.00","2,800.00",,,"11,400.00"
MICHIGAN PHARMACISTS ASSOC,,,,,"3,600.00",,,,,,,,,,,,"3,600.00"
Conventions,,,,,"1,100.00",,,,,,,,,,,,"1,100.00"
Medical Ed,,,,,"2,500.00",,,,,,,,,,,,"2,500.00"
MICHIGAN SOCIETY OF ANESTHEISOLOGISTS,,350.00,,350.00,,,,,,,,,,,,,700.00
Conventions,,,,350.00,,,,,,,,,,,,,350.00
Lecture Program,,350.00,,,,,,,,,,,,,,,350.00
MIDWEST PAIN SOCIETY,"11,000.00",,"7,000.00","7,000.00","3,000.00",,,,,,"5,750.00",750.00,"9,900.00","10,650.00",,,"55,050.00"
Conventions,,,,,,,,,,,750.00,750.00,,7 50.00,,,"2,250.00"
Medical Ed,"11,000.00",,"7,000.00","7,000.00","3,000.00",,,,,,"5,000.00",,"9,900.00","9,900.00",,,"52,800.00"
MINNESOTA ACADEMY OF FAMILY PHYSICIANS,,700.00,,850.00,,,,,,,"1,900.00","1,000.00","3,450.00","2,450.00",9 50.00,,"11,300.00"
Conventions,,,,850.00,,,,,,,"1,900.00",,9 50.00,"2,450.00",9 50.00,,"7,100.00"
Health Policy,,,,,,,,,,,,"1,000.00","2,500.00",,,,"3,500.00"
ManagedCare FF,,700.00,,,,,,,,,,,,,,,700.00
MINNESOTA ACADEMY OF PHYSICIAN ASSISTANTS,,,,500.00,,,,,,,,"1,000.00","1,000.00","1,000.00","1,000.00",,"4,500.00"
Conventions,,,,500.00,,,,,,,,"1,000.00","1,000.00","1,000.00","1,000.00",,"4,500.00"
MINNESOTA BOARD OF PHARMACY,,,,,540.00,360.00,450.00,360.00,360.00,360.00,616.00,660.00,8 60.00,8 80.00,,,"5,446.00"
General Counsel,,,,,540.00,360.00,450.00,360.00,360.00,360.00,616.00,660.00,8 60.00,8 80.00,,,"5,446.00"
MINNESOTA CHIEFS OF POLICE ASSOC,,,,525.00,,,,,,,,,,,,,525.00
LELE,,,,525.00,,,,,,,,,,,,,525.00
MINNESOTA GERONTOLOGICAL SOCIETY,,,400.00,800.00,,,,,,,,,,,,,"1,200.00"
Conventions,,,400.00,800.00,,,,,,,,,,,,,"1,200.00"
MINNESOTA MEDICAL ASSOCIATION,,,,,"3,500.00",,,,,,,,,,,,"3,500.00"
Medical Ed,,,,,"3,500.00",,,,,,,,,,,,"3,500.00"
MINNESOTA MEDICAL DIRECTORS ASSOC,1,",000.00","1,000.00",,,,,,,,,,,,,,"2,000.00"
Conventions,,,"1,000.00",,,,,,,,,,,,,,"1,000.00"
ManagedCare FF,"1,000.00",,,,,,,,,,,,,,,,"1,000.00"
MINNESOTA PHARMACIST ASSOCIATION,,525.00,"2,650.00","2,110.00","1,500.00",,,,,,,"3,500.00","4,000.00","2,500.00",,,"16,785.00"
Conventions,,,"2,650.00",500.00,,,,,,,,,"1,000.00",,,,"4,150.00"
ManagedCare FF,,525.00,,,,,,,,,,,,,,,525.00
Medical Ed,,,,,"1,500.00",,,,,,,"3,500.00","3,000.00","2,500.00",,,"10,500.00"
Promotions RX,,,,"1,610.00",,,,,,,,,,,,,"1,610.00"
MINNESOTA PHARMACISTS FOUNDATION,,,,,,,,,"15,000.00",,,,,,,,"15,000.00"
