Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ManagedCare FF,,,"4,000.00",,,,,,,,,,,,,,,"4,000.00"
Medical Ed,,,,,"5,000.00",,,,,"22,000.00","33,960.00","28,270.00","19,135.00",,"14,040.00",,,"122,405.00"
"TEXAS ACADEMY OF FAMILY PHYSICIANS HARRIS COUNTY CHAPT 5 ,000.00",,,,,,,,,,,,,,,,,,"5,000.00"
"Lecture Program 5,000.00",,,,,,,,,,,,,,,,,,"5,000.00"
TEXAS ACADEMY OF PHYSICIAN ASSISTANTS 750.00,,,"4,870.00","2,425.00",,,,,,"3,956.00","1,250.00",,,,,,,"13,251.00"
Conventions 750.00,,,"1,370.00","1,325.00",,,,,,,"1,250.00",,,,,,,"4,695.00"
Lecture Program,,,"3,500.00",,,,,,,,,,,,,,,"3,500.00"
Lecture Programs,,,,"1,100.00",,,,,,,,,,,,,,"1,100.00"
Medical Ed,,,,,,,,,,"3,956.00",,,,,,,,"3,956.00"
TEXAS ACADEMY OF PHYSICIAN ASSIST'S PANHANDLE CHAPTER,,,,225.00,,,,,,,,,,,,,,225.00
Conventions,,,,225.00,,,,,,,,,,,,,,225.00
"TEXAS MEDICAL ASSOCIATION 1 ,390.00",,,"1,590.00","10,000.00","2,500.00",,,,,,,,,,,,,"15,480.00"
"Conventions 1,390.00",,,"1,590.00",,,,,,,,,,,,,,,"2,980.00"
Medical Ed,,,,"10,000.00","2,500.00",,,,,,,,,,,,,"12,500.00"
TEXAS MEDICAL DIRECTORS ASSOCIATION 800.00,,,900.00,,,,,,,,,,,,,,,"1,700.00"
Conventions 800.00,,,900.00,,,,,,,,,,,,,,,"1,700.00"
