Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
"NATIONAL COMMUNITY PHARMACISTS ASSN 107,400.00",,"77,400.00","86,000.00","24,500.00","123,700.00","33,500.00","81,165.00","24,137.00","15,000.00",,"29,700.00","15,000.00","15,000.00","9,500.00","642,002.00"
Analgesic,,,,,,,,302.00,,,,,,,302.00
Conventions,,"6,050.00",,,,,,"8,835.00",,,,,,,"14,885.00"
Corp.Security,,"10,000.00",,,,,,,,,,,,,"10,000.00"
Customer Serv,,,"14,500.00",,,,,,,,,,,,"14,500.00"
"Market Strategies 113,400.00",,,,,600.00,,"40,000.00","15,000.00","15,000.00",,,,,,"184,000.00"
Medical Ed,,"15,000.00","62,500.00","8,000.00","96,100.00",,"31,665.00",,,,"10,000.00","15,000.00","15,000.00",,"253,265.00"
Mkt Intrnt Strt,,"14,500.00",,,,,,,,,,,,,"14,500.00"
National Accts,,"10,000.00","9,000.00",,"27,000.00",,"9,500.00",,,,"9,500.00",,,"9,500.00","74,500.00"
"Other (6,000.00)",,,,,,,,,,,,,,,"(6,000.00)"
PPMD - IT,,,,"16,500.00",,"18,500.00",,,,,,,,,"35,000.00"
Promotions RX,,"15,000.00",,,,,,,,,"2,000.00",,,,"17,000.00"
Public Affairs,,"6,850.00",,,,,,,,,"8,200.00",,,,"15,050.00"
Sales Force,,,,,,"15,000.00",,,,,,,,,"15,000.00"
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION,,,,,,,,,"10,500.00",,,,,,"10,500.00"
Promotions RX,,,,,,,,,"10,500.00",,,,,,"10,500.00"
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION FOUNDATION,,,"5,000.00",,,,,,"118,550.00","115,500.00","21,680.00",,"9,000.00",,"269,730.00"
Conventions,,,,,,,,,"8,550.00",,,,"9,000.00",,"17,550.00"
Medical Ed,,,"5,000.00",,,,,,"100,000.00",,,,,,"105,000.00"
National Accts,,,,,,,,,,"10,500.00",,,,,"10,500.00"
Public Affairs,,,,,,,,,"10,000.00","90,000.00","6,680.00",,,,"106,680.00"
Pur Pharma Fund,,,,,,,,,,"15,000.00","15,000.00",,,,"30,000.00"
"NATIONAL CONFERENCE FOR NURSE PRACTITIONERS 7 ,000.00",,"1,925.00",,,,,,,,,,,,,"8,925.00"
Conventions,,"1,925.00",,,,,,,,,,,,,"1,925.00"
"Medical Ed 7,000.00",,,,,,,,,,,,,,,"7,000.00"
NATIONAL CONFERENCE OF STATE LEGISLATURES,,,"5,000.00",,,,,,,,,,,,"5,000.00"
St. Gov Leg  Aff,,,"5,000.00",,,,,,,,,,,,"5,000.00"
"NATIONAL CONSUMERS LEAGUE 5 ,000.00",,,,,,,,"25,000.00","25,000.00",,"50,000.00","25,000.00",,,"130,000.00"
"Pur Pharma Fund 5,000.00",,,,,,,,"25,000.00","25,000.00",,,,,,"55,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"50,000.00","25,000.00",,,"75,000.00"
"NATIONAL COUNCIL ON PATIENT INFORMATIN AND EDUCATION 31,000.00",,"28,775.00","14,000.00","15,000.00",,"7,500.00","71,500.00",,"82,200.00","26,508.00","84,980.00","70,667.00","8,250.00",,"440,380.00"
Par Against,,"28,775.00",,,,,,,,,,,,,"28,775.00"
"Pur Pharma Fund 31,000.00",,,"14,000.00","7,500.00",,,"64,000.00",,"82,200.00",,,,,,"198,700.00"
St. Gov Leg  Aff,,,,"7,500.00",,"7,500.00","7,500.00",,,"26,508.00","84,980.00","70,667.00","8,250.00",,"212,905.00"
NATIONAL FAMILY CAREGIVERS ASSN,,"15,000.00","5,000.00",,,,"7,500.00","18,500.00","15,162.85","17,000.00","2,500.00","20,000.00","15,200.00","15,000.00","130,862.85"
Patient & Professional Relations,,,,,,,,,,,,,2 00.00,"15,000.00","15,200.00"
Public Affairs,,,,,,,,"15,000.00",162.85,,,,,,"15,162.85"
Pur Pharma Fund,,"15,000.00","5,000.00",,,,,,,"2,000.00",,,,,"22,000.00"
St. Gov Leg  Aff,,,,,,,"7,500.00","3,500.00","15,000.00","15,000.00","2,500.00","20,000.00","15,000.00",,"78,500.00"
"NATIONAL FIBROMYALGIA 2 ,500.00",,,,,,,,,,,,,,,"2,500.00"
