Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
General Counsel,200.00,,200.00,200.00,,400.00,200.00,600.00,400.00,400.00,400.00,800.00,6 00.00,6 00.00,"5,000.00"
SOUTH DAKOTA MEDICAL ASSOC,400.00,,450.00,,,,,,,,,,,,850.00
Conventions,,,450.00,,,,,,,,,,,,450.00
Lecture Program,400.00,,,,,,,,,,,,,,400.00
SOUTH DAKOTA OSTEOPATHIC ASSOCIATION,"1 ,750.00",,,,,,,,,,,,,,"1,750.00"
Lecture Program,"1,750.00",,,,,,,,,,,,,,"1,750.00"
SOUTH DAKOTA PHARMACISTS ASSOC,,,"1,250.00",,,,,,,,,,,,"1,250.00"
Lecture Programs,,,"1,250.00",,,,,,,,,,,,"1,250.00"
SOUTH DAKOTA SOCIETY OF HEALTH SYSTEM PHARMACISTS,750.00,,,750.00,,,,,,,,,,,"1,500.00"
Conventions,,,,750.00,,,,,,,,,,,750.00
ManagedCare FF,750.00,,,,,,,,,,,,,,750.00
SOUTH JERSEY CHAPTER OF ONS,250.00,,,,,,,,,,,,,,250.00
Lecture Program,250.00,,,,,,,,,,,,,,250.00
SOUTH SUBURBAN PHARMACISTS ASSOCIATION,"3 ,000.00",,,,,,,,,,,,,,"3,000.00"
Lecture Program,"3,000.00",,,,,,,,,,,,,,"3,000.00"
SOUTHEAST ALABAMA ONCOLOGY NURSING SOCIETY,"1 ,250.00",,,,,,,,,,,,,,"1,250.00"
Lecture Program,"1,250.00",,,,,,,,,,,,,,"1,250.00"
SOUTHEAST GEORGIA ONCOLOGY NURSING SOCIETY,,,"3,000.00",,,,,,,,,,,,"3,000.00"
Lecture Program,,,"3,000.00",,,,,,,,,,,,"3,000.00"
SOUTHEAST MISSOURI ONCOLOGY NURSING SOCIETY,832.50,,,,,,,,,,,,,,832.50
Lecture Program,832.50,,,,,,,,,,,,,,832.50
SOUTHEAST OHIO CHAPTER OF ONCOLOGY NURSING SOCIETY,"1 ,500.00",,,,,,,,,,,,,,"1,500.00"
Lecture Program,"1,500.00",,,,,,,,,,,,,,"1,500.00"
SOUTHERN ARIZONA NURSE PRACTITIONERS,,,500.00,,,,,,,,,,,,500.00
Conventions,,,500.00,,,,,,,,,,,,500.00
SOUTHERN ARIZONA ONCOLOGY NURSING SOCIETY,,,"1,000.00",,,,,,,,,,,,"1,000.00"
Conventions,,,"1,000.00",,,,,,,,,,,,"1,000.00"
SOUTHERN ILLINOIS MEDICAL ASSOCIATION,250.00,,,,,,,,,,,,,,250.00
Conventions,250.00,,,,,,,,,,,,,,250.00
