
Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total"Medical Ed 7,000.00",,,,,,,,,,,,,,,"7,000.00"
Medical Ed,,,"5,000.00","5,000.00",,,"6,000.00","2,500.00",,,,,,,"18,500.00"
"AMERICAN OSTEOPATHIC ASSN 14,700.00",,"60,950.00","291,450.00","13,200.00","72,100.00","277,600.00","32,250.00","57,800.00","269,600.00","416,550.00","264,600.00","285,650.00","100,000.00",,"2,156,450.00"
"Conventions 14,700.00",,"51,600.00","18,450.00",,"38,100.00",,,"43,200.00",,"82,600.00","110,000.00",,,,"358,650.00"
Market Strategies,,"2,500.00",,,,,,,,,,,,,"2,500.00"
Marketing,,,"20,000.00",,,,,,,,,,,,"20,000.00"
Medical Ed,,"5,850.00",,"13,200.00",,"227,000.00",,,,,"100,000.00",,,,"346,050.00"
New Prod-Budget,,,,,,,,,,"41,100.00",,,,,"41,100.00"
Prof Relations,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Professional Rels,,,"253,000.00",,,,,,,,,,,,"253,000.00"
Pur Pharma Fund,,,,,,,,,"175,000.00","278,250.00",,"230,500.00",,,"683,750.00"
St. Gov Leg  Aff,,,,,"34,000.00","50,600.00","32,250.00","14,600.00","94,600.00","14,600.00","54,600.00","55,150.00","100,000.00",,"450,400.00"
AMERICAN OSTEOPATHIC COLLEGE OF ANESTHESIOLOGISTS,,750.00,,,,750.00,,,,,,,,,"1,500.00"
Dom Oth Inc_Exp,,,,,,750.00,,,,,,,,,750.00
Medical Ed,,750.00,,,,,,,,,,,,,750.00
"AMERICAN OSTEOPATHIC COLLEGE OF FAMILY PHYSICIANS 50,000.00",,,,,,,,,,,,,,,"50,000.00"
"Medical Ed 50,000.00",,,,,,,,,,,,,,,"50,000.00"
AMERICAN OSTEOPATHIC COLLEGE OF PHYSICAL MEDICINE & REHABILITATION,,,,,"1,000.00",,,,,,"2,000.00",8 50.00,"2,000.00",,"5,850.00"
Conventions,,,,,,,,,,,"2,000.00",8 50.00,"2,000.00",,"4,850.00"
Medical Ed,,,,,"1,000.00",,,,,,,,,,"1,000.00"
AMERICAN OSTEOPATHIC INFORMATION ASSOCIATION,,,"74,000.00",,"75,000.00",,,,,,,,,,"149,000.00"
Marketing,,,,,"75,000.00",,,,,,,,,,"75,000.00"
Par Against,,,"74,000.00",,,,,,,,,,,,"74,000.00"
"AMERICAN PAIN FOUNDATION 15,000.00",,"459,995.15","250,087.00","251,210.00","177,037.00","231,150.00","375,000.00","275,000.00","446,500.00","368,961.54","25,000.00",,,,"2,874,940.69"
HECON,,500.00,,,,,,,,,,,,,500.00
"Par Against 15,000.00",,"186,495.15",,,,,,"25,000.00",,,,,,,"226,495.15"
Public Affairs,,,87.00,,,,,"15,000.00","10,000.00","3,711.54",,,,,"28,798.54"
Pur Pharma Fund,,"268,000.00","250,000.00","200,210.00","65,000.00","76,150.00","240,000.00","190,000.00","210,000.00","215,250.00",,,,,"1,714,610.00"
St. Gov Leg  Aff,,"5,000.00",,"51,000.00","112,037.00","155,000.00","135,000.00","45,000.00","226,500.00","150,000.00","25,000.00",,,,"904,537.00"
"AMERICAN PAIN SOCIETY 383,530.15",,"606,332.30","311,602.50","154,050.00","102,857.50","80,690.00","121,430.00","143,015.00","131,000.00","145,965.00","123,465.00","93,480.00","90,000.00","15,000.00","2,502,417.45"
Analgesic,,670.00,,300.00,,,,,,,,,,,970.00
Clin Data OP Tec 380.00,,,,,,,,,,,,,,,380.00
Clin Pln CMgmt 275.00,,,,,,,,,,,,,,,275.00
Clinical Pharm 50.00,,,,,,,,,,,,,,,50.00
Clinical Rsch 2 550.00,,,,,,,,,,,,,,,550.00
