Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Mkt Intrnt Strt,"150,000.00","17,000.00","6,415.00",,,,,,,,,,,,"173,415.00"
New Prod-Budget,,,,,,,,,,"40,600.00",,,,,"40,600.00"
Other,-798.84,,,,,,,,,,,,,,-798.84
Patient & Professional Relations,,,,,,,,,,,,,,"25,000.00","25,000.00"
Prof Relations,,"50,000.00",,,,,,,,,,,,,"50,000.00"
Professional Rels,"54,923.33",,"2,000.00","50,000.00",,,,,,,,,,,"52,000.00"
Promotions RX,,"27,500.00",,,,,,,,,"15,000.00",,,,"97,423.33"
Public Affairs,,"50,000.00",,,,,,,,,,,,,"50,000.00"
Pur Pharma Fund,,,,,,,"10,000.00",,,,,,,,"10,000.00"
Sales Admin,,"25,630.00",,,,,,,,,,,,,"25,630.00"
St. Gov Leg  Aff,,,,,"40,000.00","40,000.00","40,000.00",,"40,000.00","30,000.00","50,000.00","50,000.00","100,000.00",,"390,000.00"
AMERICAN ACADEMY OF FAMILY PHYSICIANS - NORTH DAKOTA CHAPTER,,,,,,,,,,,250,,,,250
Conventions,,,,,,,,,,,250,,,,250
"AMERICAN ACADEMY OF FAMILY PHYSICIANS FOUNDATION 40,000.00","40,000.00",,"240,000.00",,,,,,,,,,,,"280,000.00"
Medical Ed,,,"160,000.00",,,,,,,,,,,,"160,000.00"
Prof Relations ,,,"40,000.00",,,,,,,,,,,,"80,000.00"
Professional Rels,,,"40,000.00",,,,,,,,,,,,"40,000.00"
"AMERICAN ACADEMY OF HOSPICE & PALLIATIVE MEDICINE 35,050.00","35,050.00","72,680.00","46,339.81","12,000.00","3,200.00",,"3,485.00","30,000.00","60,000.00","90,000.00","55,000.00","100,000.00","72,500.00","10,000.00","590,254.81"
Conventions,"1,550.00",,"3,150.00","12,000.00","3,200.00",,"3,300.00",,,,,,,,"23,200.00"
Medical Ed,,700,"43,189.81",,,,,,,,,,,,"43,889.81"
Other,"33,500.00","54,480.00",,,,,,,,,,,,,"87,980.00"
Par Against,,"15,000.00",,,,,,,,,,,,,"15,000.00"
