BAYLOR COLLEGE INTERCULTURAL CANCER COUNCIL,"55,000.00",,"124,435.00","228,000.00","200,000.00",,60.00,"2,500.00",,,,,,,,"609,995.00"
Analgesic,,,,,,,60.00,,,,,,,,,60.00
Lecture Program,,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Medical Ed,"10,000.00",,"10,000.00","53,000.00",,,,,,,,,,,,"73,000.00"
Medical Rsch,,,"13,435.00",,,,,,,,,,,,,"13,435.00"
Pur Pharma Fund,"45,000.00",,"100,000.00","175,000.00","200,000.00",,,,,,,,,,,"520,000.00"
St. Gov Leg  Aff,,,,,,,,"2,500.00",,,,,,,,"2,500.00"
BIG SKY CHAPTER OF THE ONCOLOGY NURSING SOCIETY,500.00,,,,,,,,,,,,,,,500.00
Medical Ed,500.00,,,,,,,,,,,,,,,500.00
BIOTECHNOLOGY INDUSTRY ORGAN,,,,,,"2,195.00",,,,"152,500.00","625,000.00",,,"370,000.00","320,000.00","1,469,695.00"
Dom Oth Inc_Exp,,,,,,,,,,,,,,,"320,000.00","320,000.00"
Fin Analysis,,,,,,"2,195.00",,,,,,,,,,"2,195.00"
Lic &s Dev,,,,,,,,,,"152,500.00","625,000.00",,,"210,000.00",,"987,500.00"
St. Gov Leg  Aff,,,,,,,,,,,,,,"160,000.00",,"160,000.00"
BOB WOODRUFF FAMILY FOUNDATION INC,,,,,,,,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00",,,"300,000.00"
St. Gov Leg  Aff,,,,,,,,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00",,,"300,000.00"
BOSTON ONCOLOGY NURSING SOC,500.00,,"1,500.00",500.00,500.00,,,500.00,,,,,,,,"3,500.00"
Conventions,,,,500.00,500.00,,,500.00,,,,,,,,"1,500.00"
Lecture Program,500.00,,,,,,,,,,,,,,,500.00
Lecture Programs,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
BROWARD ONCOLOGY NURSING SOCIETY,"5 ,000.00",,,,,,,,,,,,,,,"5,000.00"
Lecture Program,"5,000.00",,,,,,,,,,,,,,,"5,000.00"
CALIFORNIA ACADEMY OF FAMILY PHYS,,,"17,284.18",,,,,,,,,,,,,"17,284.18"
Lecture Program,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Medical Ed,,,"15,784.18",,,,,,,,,,,,,"15,784.18"
CALIFORNIA ACADEMY OF FAMILY PHYSICIANS,"172,462.68",,"147,534.43","332,500.00","267,000.00",,,,"91,300.00",,"125,000.00",,,,,"1,135,797.11"
Medical Ed,"127,865.72",,"147,534.43","175,500.00","267,000.00",,,,"91,300.00",,"125,000.00",,,,,"934,200.15"
Other,,,,"157,000.00",,,,,,,,,,,,"157,000.00"
Sales Admin,"44,596.96",,,,,,,,,,,,,,,"44,596.96"
CALIFORNIA ACADEMY PHYSICIAN ASSISTANTS,,,760.00,,,,,,,,,"5,000.00","5,000.00","12,500.00",,"23,260.00"
Conventions,,,760.00,,,,,,,,,,,,,760.00
