Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
"NEW YORK CITY POLICE FOUNDATION INC- HEROES FUND 12,460.00",,,,,,,,,,,"25,000.00","25,000.00","25,000.00","25,000.00","112,460.00"
Corp.Security,,,,,,,,,,,"25,000.00","25,000.00","25,000.00","25,000.00","100,000.00"
"Pur Pharma Fund 12,460.00",,,,,,,,,,,,,,,"12,460.00"
NEW YORK STATE ASSOCIATION CHIEFS OF POLICE INC,,,505.00,,,,,,,,,,,,505.00
LELE,,,505.00,,,,,,,,,,,,505.00
NEW YORK STATE CHAPTER OF ACOFP INC,,,,,,,,,,"2,500.00",,,,,"2,500.00"
Medical Ed,,,,,,,,,,"2,500.00",,,,,"2,500.00"
NEW YORK STATE COUNCIL OF HEALTH SYSTEM PHARMACISTS,,,,"2,000.00",,,,,,"5,000.00",,,"2,500.00","3,500.00","13,000.00"
Medical Ed,,,,"2,000.00",,,,,,"5,000.00",,,"2,500.00","3,500.00","13,000.00"
NEW YORK STATE EDUCATION DEPT NEW YORK BOARD OF PHARMACY,,,"1,895.00",,,"1,050.00",600.00,,,,825.00,520.00,,,"4,890.00"
General Counsel,,,"1,650.00",,,"1,050.00",,,,,825.00,520.00,,,"4,045.00"
IAF Corp,,,245.00,,,,,,,,,,,,245.00
Medical Ed,,,,,,,600.00,,,,,,,,600.00
NEW YORK STATE NURSE ASSOCIATION,,,850.00,,,,,,,,,,,,850.00
Conventions,,,850.00,,,,,,,,,,,,850.00
NEW YORK STATE PAIN SOCIETY INC,,,,,,,,,,,,"10,000.00","10,600.00","7,000.00","27,600.00"
Conventions,,,,,,,,,,,,,6 00.00,"2,000.00","2,600.00"
Medical Ed,,,,,,,,,,,,"10,000.00","10,000.00","5,000.00","25,000.00"
NEW YORK STATE SOCIETY OF PHYSICIAN ASSISTANTS,750.00,,"4,800.00",850.00,,,,,"5,000.00",,,,,,"11,400.00"
Conventions,750.00,,"1,800.00",850.00,,,,,,,,,,,"3,400.00"
Medical Ed,,,"3,000.00",,,,,,"5,000.00",,,,,,"8,000.00"
