Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Analgesic 694.40,,"25,970.00",350.00,120.00,,,,,,,,,,,"27,134.40"
"Medical Ed 30,000.00",,"15,000.00","11,000.00","20,000.00","2,500.00",,,,,,,,,,"78,500.00"
Pur Pharma Fund,,,"5,000.00",,,,,,,,,,,,"5,000.00"
AMERICAN SOC OF PAIN MGMT NURSES DELAWARE VALLEY & EASTERN PA CH,,"1,263.50",,,,,,,,,,,,,"1,263.50"
Lecture Program,,"1,263.50",,,,,,,,,,,,,"1,263.50"
AMERICAN SOCIETY FOR CLINICAL PHARMACOLOGY 330.00,,,,,,,,,,,,,,,330.00
Clinical Pharm 330.00,,,,,,,,,,,,,,,330.00
AMERICAN SOCIETY FOR PAIN MGMT NURSES NORTHERN VA CHAPTER,,,,,,,,,,750.00,,,5 00.00,,"1,250.00"
Conventions,,,,,,,,,,,,,5 00.00,,500.00
Medical Ed,,,,,,,,,,750.00,,,,,750.00
"AMERICAN SOCIETY OF ANESTHESIOLOGISTS 33,300.00",,"35,850.00","6,650.00",,,,,,,,,,,,"75,800.00"
Clinical Rsch 1 900.00,,,,,,,,,,,,,,,900.00
Clinical Rsch 3,,450.00,450.00,,,,,,,,,,,,900.00
"Conventions 32,400.00",,"35,400.00","6,200.00",,,,,,,,,,,,"74,000.00"
"AMERICAN SOCIETY OF CONSULTANT PHARMACISTS 50,350.00",,"119,898.19","24,149.20",,"14,000.00","5,400.00","5,400.00","28,550.00","32,940.00","293,183.00","56,800.00","73,175.00","19,350.00",,"723,195.39"
"Conventions 20,450.00",,"19,200.00","5,150.00",,"12,000.00",,,,"2,650.00","3,550.00","7,300.00","3,400.00","3,400.00",,"77,100.00"
"Lecture Program 7,500.00",,"9,700.00",,,,,,,,,,,,,"17,200.00"
"ManagedCare FF 2,000.00",,500.00,"2,000.00",,,,,,,,"1,750.00","1,500.00",,,"7,750.00"
