organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2007,1000
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2012,1000
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,conventions,2014,1000
alabama osteopathic medical assoc,osteopathic medical assoc,alabama,medical,physician,osteopathic,lecture program,2002,3500
alabama pharmacy assoc,pharmacists association,alabama,medical,pharmacist,other,conventions,2003,820
alabama pharmacy assoc,pharmacists association,alabama,medical,pharmacist,other,conventions,2004,800
alabama pharmacy assoc,pharmacists association,alabama,medical,pharmacist,other,conventions,2005,1020
alabama soc of clinical oncology,soc of clinical oncology,alabama,other,,oncology,conventions,2003,750
alabama soc of clinical oncology,soc of clinical oncology,alabama,other,,oncology,lecture program,2002,5050
alabama society of health system pharmacists,society of health system pharmacists,alabama,medical,pharmacist,other,conventions,2004,625
alabama society of health system pharmacists,society of health system pharmacists,alabama,medical,pharmacist,other,lecture program,2002,625
alabama society of phyiscal medicine & rehabilitation,society of physical medicine & rehabilitation,alabama,other,,physical/rehab,lecture program,2002,1000
alabama society of physical medicine,society of physical medicine & rehabilitation,alabama,other,,physical/rehab,medical ed,2002,2500
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2002,700
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2003,350
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2004,1550
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2005,200
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2006,2200
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2010,3300
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2012,3300
alabama state board of pharmacy,state board of pharmacy,alabama,medical,pharmacist,other,general counsel,2014,2200
alabama state society of anesthesiologists,society of anesthesiologists,alabama,other,,anesthesia,conventions,2003,800
alabama state society of anesthesiologists,society of anesthesiologists,alabama,other,,anesthesia,lecture program,2002,800
alaska academy of physician,academy of family physicians,alaska,medical,physician,family,medical ed,2008,5000
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,other,conventions,2004,500
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,other,lecture program,2002,1000
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,other,medical ed,2004,1000
alaska nurse practitioner assoc,NA,NA,NA,,NA,conventions,2007,750
alaska nurse practitioner assoc,NA,NA,NA,,NA,conventions,2008,750
alaska nurse practitioner assoc,NA,NA,NA,,NA,conventions,2009,750
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,other,,osteopathic,conventions,2012,800
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,other,,osteopathic,medical ed,2002,7000
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,other,,osteopathic,medical ed,2003,7000
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,other,,osteopathic,medical ed,2008,2000
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,other,,osteopathic,medical ed,2009,2000
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,other,conventions,2005,750
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,other,conventions,2015,800
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,other,lecture program,2003,1500
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,other,medical ed,2005,3500
albuquerque chapter of oncology nursing society,albuquerque chapter of oncology nursing society,none,medical,nurse,oncology,conventions,2002,200
albuquerque chapter of oncology nursing society,albuquerque chapter of oncology nursing society,none,medical,nurse,oncology,conventions,2003,200
alliance for aging research,alliance for aging research,none,other,,aging,fed gov affairs,2003,1000
alliance for aging research,alliance for aging research,none,other,,aging,fed gov affairs,2004,1000
alliance for aging research,alliance for aging research,none,other,,aging,fed gov affairs,2006,500
alliance for aging research,alliance for aging research,none,other,,aging,public affairs,2009,10000
alliance for aging research,alliance for aging research,none,other,,aging,st. gov leg  aff,2009,1000
alliance for patient access,alliance for patient access,none,medical,patient advocacy,other,patient & professional relations,2015,25000
alliance for patient access,alliance for patient access,none,medical,patient advocacy,other,st. gov leg  aff,2008,10000
alliance for patient access,alliance for patient access,none,medical,patient advocacy,other,st. gov leg  aff,2010,15000
alliance for patient access,alliance for patient access,none,medical,patient advocacy,other,st. gov leg  aff,2012,15000
alliance for patient access,alliance for patient access,none,medical,patient advocacy,other,st. gov leg  aff,2013,25000
alliance for patient access,alliance for patient access,none,medical,patient advocacy,other,st. gov leg  aff,2014,25000
am society of pain mgmt nurses wisconsin chapter,society of pain mgmt nurses,wisconsin,medical,nurse,pain,lecture programs,2003,1500
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2004,900
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2005,1350
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2011,875
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2013,875
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2014,875
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,conventions,2004,937.5
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,conventions,2006,1250
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,lecture program,2003,1500
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,medical ed,2004,2500
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,medical ed,2008,7500
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,medical ed,2009,5000
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,medical ed,2010,2500
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,medical ed,2012,5000
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,medical,physician,family,public affairs,2012,1100
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2002,19125
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2004,19445
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2006,27000
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2007,13500
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2008,28000
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2009,71000
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2010,51500
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2011,133000
american academy of family physicians,academy of family physicians,none,medical,physician,family,conventions,2012,127500
american academy of family physicians,academy of family physicians,none,medical,physician,family,lecture program,2002,1300
american academy of family physicians,academy of family physicians,none,medical,physician,family,lecture program,2003,1300
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2002,15000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2003,13140
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2004,5000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2006,36000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2008,411000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2009,400000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2010,5000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2011,150000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2012,448000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2013,250000
american academy of family physicians,academy of family physicians,none,medical,physician,family,medical ed,2014,13000
american academy of family physicians,academy of family physicians,none,medical,physician,family,mkt intrnt strt,2002,150000
american academy of family physicians,academy of family physicians,none,medical,physician,family,mkt intrnt strt,2003,17000
american academy of family physicians,academy of family physicians,none,medical,physician,family,mkt intrnt strt,2004,6415
american academy of family physicians,academy of family physicians,none,medical,physician,family,new prod-budget,2011,40600
american academy of family physicians,academy of family physicians,none,medical,physician,family,patient & professional relations,2015,25000
american academy of family physicians,academy of family physicians,none,medical,physician,family,prof relations,2003,50000
american academy of family physicians,academy of family physicians,none,medical,physician,family,professional rels,2002,54923.33
american academy of family physicians,academy of family physicians,none,medical,physician,family,professional rels,2004,2000
american academy of family physicians,academy of family physicians,none,medical,physician,family,professional rels,2005,50000
american academy of family physicians,academy of family physicians,none,medical,physician,family,promotions rx,2003,27500
american academy of family physicians,academy of family physicians,none,medical,physician,family,promotions rx,2012,15000
american academy of family physicians,academy of family physicians,none,medical,physician,family,public affairs,2003,50000
american academy of family physicians,academy of family physicians,none,medical,physician,family,pur pharma fund,2008,10000
american academy of family physicians,academy of family physicians,none,medical,physician,family,sales admin,2003,25630
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2006,40000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2007,40000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2008,40000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2010,40000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2011,30000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2012,50000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2013,50000
american academy of family physicians,academy of family physicians,none,medical,physician,family,st. gov leg  aff,2014,100000
american academy of family physicians - north dakota chapter,academy of family physicians,north dakota,medical,physician,family,conventions,2012,250
american academy of family physicians foundation,academy of family physicians,none,medical,physician,family,medical ed,2004,160000
american academy of family physicians foundation,academy of family physicians,none,medical,physician,family,prof relations,2004,40000
american academy of family physicians foundation,academy of family physicians,none,medical,physician,family,professional rels,2004,40000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,conventions,2002,1550
american academy of hospice & palliative medicine,NA,NA,NA,,NA,conventions,2004,3150
american academy of hospice & palliative medicine,NA,NA,NA,,NA,conventions,2005,12000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,conventions,2006,3200
american academy of hospice & palliative medicine,NA,NA,NA,,NA,conventions,2008,3300
american academy of hospice & palliative medicine,NA,NA,NA,,NA,medical ed,2003,700
american academy of hospice & palliative medicine,NA,NA,NA,,NA,medical ed,2004,43189.81
american academy of hospice & palliative medicine,NA,NA,NA,,NA,other,2002,33500
american academy of hospice & palliative medicine,NA,NA,NA,,NA,other,2003,54480
american academy of hospice & palliative medicine,NA,NA,NA,,NA,par against,2003,15000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,patient & professional relations,2014,32500
american academy of hospice & palliative medicine,NA,NA,NA,,NA,patient & professional relations,2015,10000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,prof relations,2003,2500
american academy of hospice & palliative medicine,NA,NA,NA,,NA,pur pharma fund,2010,20000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2008,185
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2009,30000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2010,40000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2011,90000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2012,55000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2013,100000
american academy of hospice & palliative medicine,NA,NA,NA,,NA,st. gov leg  aff,2014,40000
american academy of hospice & palliative medicine,academy of hospice and palliative medicine,none,other,,hospice,conventions,2002,3150
american academy of hospice & palliative medicine,academy of hospice and palliative medicine,none,other,,hospice,conventions,2010,15000
american academy of hospice & palliative medicine,academy of hospice and palliative medicine,none,other,,hospice,st. gov leg  aff,2008,185
american academy of neurology education & research f,academy of neurology,none,other,,neurology,medical ed,2002,12500
american academy of neurology education & research f,academy of neurology,none,other,,neurology,prof relations,2003,12500
american academy of neurology education & research f,academy of neurology,none,other,,neurology,professional rels,2004,12500
american academy of neurology insti,academy of neurology,none,other,,neurology,medical ed,2012,10000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,medical ed,2003,2400
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,pur pharma fund,2011,30000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2006,5000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2007,5000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2008,5000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2011,25000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2012,36150
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2013,20000
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2014,10000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,conventions,2002,3600
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,conventions,2003,3500
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,conventions,2004,3900
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,conventions,2007,4800
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,conventions,2014,2700
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,conventions,2015,55000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,medical ed,2002,15000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,medical ed,2003,24500
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,medical ed,2004,35000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,medical ed,2013,60500
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,other,2002,9500
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,patient & professional relations,2015,10000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,professional rels,2004,3500
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,professional rels,2005,3500
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,promotions rx,2012,77000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2013,10000
american academy of nurse practitioners,academy of nurse practitioners,none,medical,nurse,other,st. gov leg  aff,2014,10000
american academy of orthopaedic surgeons,academy of orthopaedic surgeons,none,medical,physician,orthopaedic,conventions,2002,16200
american academy of orthopaedic surgeons,academy of orthopaedic surgeons,none,medical,physician,orthopaedic,st. gov leg  aff,2006,1200
american academy of orthopaedic surgeons,academy of orthopaedic surgeons,none,medical,physician,orthopaedic,st. gov leg  aff,2007,1200
american academy of orthopaedic surgeons,academy of orthopaedic surgeons,none,medical,physician,orthopaedic,st. gov leg  aff,2008,1200
american academy of osteopathy,academy of osteopathy,none,other,,osteopathic,conventions,2008,1050
american academy of pain medicine,academy of pain medicine,none,other,,pain,analgesic,2002,1650
american academy of pain medicine,academy of pain medicine,none,other,,pain,analgesic,2003,2085
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2002,16380
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2003,14400
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2004,15840
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2005,12000
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2006,9000
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2007,29100
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2008,45000
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2009,15000
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2010,18500
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2011,42600
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2012,31500
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2013,4000
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2014,21000
american academy of pain medicine,academy of pain medicine,none,other,,pain,conventions,2015,25600
american academy of pain medicine,academy of pain medicine,none,other,,pain,marketing,2003,5000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2002,30000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2003,5765
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2004,52848.5
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2007,100000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2008,22500
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2010,25000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2011,75000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2012,50000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2013,75000
american academy of pain medicine,academy of pain medicine,none,other,,pain,medical ed,2014,75000
american academy of pain medicine,academy of pain medicine,none,other,,pain,other,2004,37200
american academy of pain medicine,academy of pain medicine,none,other,,pain,patient & professional relations,2015,15000
american academy of pain medicine,academy of pain medicine,none,other,,pain,professional rels,2004,5000
american academy of pain medicine,academy of pain medicine,none,other,,pain,professional rels,2005,5000
american academy of pain medicine,academy of pain medicine,none,other,,pain,promotions rx,2002,7500
american academy of pain medicine,academy of pain medicine,none,other,,pain,public affairs,2013,4000
american academy of pain medicine,academy of pain medicine,none,other,,pain,pur pharma fund,2002,143293.92
american academy of pain medicine,academy of pain medicine,none,other,,pain,pur pharma fund,2003,355045
american academy of pain medicine,academy of pain medicine,none,other,,pain,pur pharma fund,2004,464573.46
american academy of pain medicine,academy of pain medicine,none,other,,pain,pur pharma fund,2011,250
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2006,5000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2007,30000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2008,11000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2009,25000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2010,35000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2011,45000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2012,65000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2013,50000
american academy of pain medicine,academy of pain medicine,none,other,,pain,st. gov leg  aff,2014,75000
american academy of pain management,academy of pain management,none,other,,pain,clinical rsch 3,2008,570
american academy of pain management,academy of pain management,none,other,,pain,conventions,2004,3200
american academy of pain management,academy of pain management,none,other,,pain,conventions,2007,17400
american academy of pain management,academy of pain management,none,other,,pain,conventions,2008,16000
american academy of pain management,academy of pain management,none,other,,pain,conventions,2009,11000
american academy of pain management,academy of pain management,none,other,,pain,conventions,2010,33000
american academy of pain management,academy of pain management,none,other,,pain,conventions,2011,48500
american academy of pain management,academy of pain management,none,other,,pain,conventions,2012,11200
american academy of pain management,academy of pain management,none,other,,pain,conventions,2013,35000
american academy of pain management,academy of pain management,none,other,,pain,conventions,2014,14700
american academy of pain management,academy of pain management,none,other,,pain,health policy,2007,195
american academy of pain management,academy of pain management,none,other,,pain,health policy,2008,525
american academy of pain management,academy of pain management,none,other,,pain,health policy,2009,195
american academy of pain management,academy of pain management,none,other,,pain,health policy,2010,195
american academy of pain management,academy of pain management,none,other,,pain,lecture program,2002,5000
american academy of pain management,academy of pain management,none,other,,pain,marketing,2003,3500
american academy of pain management,academy of pain management,none,other,,pain,marketing,2004,3500
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2002,32650
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2003,25000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2004,35000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2005,60000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2006,26000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2007,10000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2008,5000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2009,52825
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2010,54855
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2011,100000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2012,20000
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2013,81154
american academy of pain management,academy of pain management,none,other,,pain,medical ed,2014,20000
american academy of pain management,academy of pain management,none,other,,pain,patient & professional relations,2014,150000
american academy of pain management,academy of pain management,none,other,,pain,professional rels,2004,160
american academy of pain management,academy of pain management,none,other,,pain,professional rels,2005,12790
american academy of pain management,academy of pain management,none,other,,pain,promotions rx,2012,2350
american academy of pain management,academy of pain management,none,other,,pain,public affairs,2002,150
american academy of pain management,academy of pain management,none,other,,pain,pur pharma fund,2008,12000
american academy of pain management,academy of pain management,none,other,,pain,pur pharma fund,2010,36050
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2003,525
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2004,565
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2005,195
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2006,12500
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2007,15765
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2008,40195
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2009,25000
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2010,25000
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2011,82500
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2012,150000
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2013,150000
american academy of pain management,academy of pain management,none,other,,pain,st. gov leg  aff,2014,13500
american academy of pediatrics,academy of pediatrics,none,other,,pediatric,clinical pharm,2002,880
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2002,1725
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2003,3450
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2004,3450
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2006,11800
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2007,11140
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2008,52400
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2009,40000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2010,20000
american academy of physical medicine & rehabilitation,society of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2011,115500
