organization,broad_org_type,state,dollars,name,medical_position/other,website,medicine_type,description,details,wikipedia_link,dropdowns,people_also_ask,related_search_org_type,g_name_one,g_link_one,g_description_one,g_name_two,g_link_two,g_description_two
alabama society of phyiscal medicine & rehabilitation,society of physical medicine & rehabilitation,alabama,1000,NULL,,NULL,physical/rehab,NULL,[],NULL,['NULL'],"['What does a PM&R doctor do?', 'What does AAPM&R mean?', 'How long is a physiatry residency?', 'How many PM&R residency programs are there?']",pm&rphysical medicine and rehabilitation subspecialities,american academy of physical medicine and rehabilitation,https://www.aapmr.org/,the american academy of physical medicine and rehabilitation is the national medical society representing more than 8000 physicians who are specialists in ...missing: alabama | must include: alabamaabout physiatry · education · quality & practice · advocacy,school of medicine - physical medicine and rehabilitation | uab,https://www.uab.edu/medicine/physicalmedicine/,spain rehabilitation center is the hub of activities for the uab department of physical medicine and rehabilitation.missing: society | must include: society
alabama society of physical medicine,society of physical medicine & rehabilitation,alabama,2500,NULL,,NULL,physical/rehab,NULL,[],NULL,['NULL'],"['What does a PM&R doctor do?', 'What is the difference between physical therapy and physical medicine?', 'What does AAPM&R mean?', 'How long is a physiatry residency?']",physical medicine and rehabilitation subspecialitiessports medicinehospice and palliative...neuromus... medicinepediatric rehabilitat... medicinebrain injury medicinesee more,school of medicine - physical medicine and rehabilitation | uab,https://www.uab.edu/medicine/physicalmedicine/,spain rehabilitation center is the hub of activities for the uab department of physical medicine and rehabilitation.missing: society | must include: society,"kirksey, keneshia, md - school of medicine - physical ... - uab",https://www.uab.edu/medicine/physicalmedicine/faculty/kirksey,"she completed her residency in physical medicine and rehabilitation at carolinas ... association, alabama society of pmr and mineral district medical society."
alabama state board of pharmacy,state board of pharmacy,alabama,13800,NULL,pharmacist,NULL,general,NULL,[],NULL,['NULL'],"['How do I renew my pharmacy license in Alabama?', 'How do I get my pharmacy license in Alabama?', 'What can you change on a c2 prescription in Alabama?', 'How much do certified pharmacy techs make in Alabama?']",georgia board of pharmacyalabama board of pharmacy disciplinary actionkansas board of pharmacyalabama pharmacist license requirementsalabama board of pharmacy membersalaska board of pharmacyhow to become a pharmacist in alabamaflorida board of pharmacy,alabama state board of pharmacy - national association of ...,https://nabp.pharmacy/bop_members/alabama/,board of pharmacy newsletters. subscribe to the alabama state board of pharmacy newsletter email alert. the state newsletter program was created to ...,albop online applications,https://albop.igovsolution.net/online/lookups/individual_lookup.aspx,(alabama board of pharmacy disclaimer: the information relating to verifications is periodically updated and may change depending on actions taken but not ...
alabama state society of anesthesiologists,society of anesthesiologists,alabama,1600,NULL,,NULL,anesthesia,NULL,[],NULL,['NULL'],[],anaesthesiologist salary,alabama state society of anesthesiologists,https://www.theassa.com/,the home of the alabama state society of anesthesiologists.,"alabama state society of anesthesiologists | montgomery, al ...","https://www.causeiq.com/organizations/alabama-state-society-of-anesthesiologists,630764683/",alabama state society of anesthesiologists. programs|form 990s|financials|personnel|peers. irs 501(c) type. 501(c)(6). num. employees. 1. city. montgomery.
alaska academy of physician,academy of family physicians,alaska,5000,NULL,physician,NULL,family,NULL,[],NULL,['NULL'],[],alaska pa,alaska academy of physician assistants - home,https://akapa.org/,"upcoming events · 21 jul 2021 6:30 pm. suite 100 restaurant, 1000 e dimond blvd #100, anchorage, ak 99515. journal club · 22 jul 2021 7:00 pm. zoom.membership · events · practicing in ak · covid-19",all-alaska medical ... - alaska academy of physician assistants,https://www.akapa.org/all-alaska-medical-conference,thank you for attending the first virtual all-alaska medical conference. if you have not received your certificate or would like a copy of any of the presentations ...
alaska nurse practitioner assoc,nurse practitioner association,alaska,4750,NULL,nurse,NULL,general,NULL,[],NULL,['NULL'],"['Can nurse practitioners practice independently in Alaska?', 'Is Alaska a full practice state?', 'What is the highest paid nurse practitioner?', 'Which nurse practitioner is most in demand?']",alaska nurse practitioner scope of practicealaska nurses associationarkansas nurse practitioner associationarizona nurse practitioner associationcalifornia nurse practitioner associationalaska nurse practitioner salarycolorado nurse practitioner associationsouthern arizona nurse practitioner association,the alaska nurse practitioner association uses enp network ...,https://anpa.enpnetwork.com/membership/new,benefits include: annual conference registration discount; access to member only dinner meetings; keeping up with np issues around the state; member only ...,alaska - the american association of nurse practitioners,https://www.aanp.org/advocacy/alaska,"np organization members ... aanp's mission: to empower all nurse practitioners to advance quality health care through practice, education, advocacy, research ..."
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,18800,NULL,,NULL,osteopathic,NULL,[],NULL,['NULL'],[],osteopathic definitionwhat does do stand for medicalwhat kind of doctor is a dowhat is a d o doctor,menu skip to content home about us leadership what is a ...,https://www.alaskado.org/,akoma annual cme meeting. join your colleagues in osteopathic and internal medicine at the scientific meeting of the alaska osteopathic medical association ...cme program · about us · what is a do? · membership,about us | - alaska osteopathic medical association,https://www.alaskado.org/about-us/,the alaska osteopathic medical association (akoma) works to protect every osteopathic physician in the state by keeping you informed and ensuring that your ...
alaska pharmacists assoc,pharmacists association,alaska,6550,NULL,pharmacist,NULL,general,NULL,[],NULL,['NULL'],[],pharmacy associationarizona pharmacy associationalaska pharmacy conventionalaska pharmacist provider statusarizona pharmacy association annual convention 2020alpha alaskaazpa membershipaz pharm,alaska pharmacists association: home,https://alaskapharmacy.org/,"alaska pharmacists association. preserving, promoting and leading the profession of pharmacy in alaska. join todaylogin ...contact · about · ce & events · advocacy","55th annual convention & tradeshow, 2021 - alaska ...",https://alaskapharmacy.org/event/55th-annual-convention-tradeshow-2021/,the alaska pharmacists association is accredited by the accreditation council for pharmacy education as a provider of continuing pharmacy education.
albuquerque chapter of oncology nursing society,albuquerque chapter of oncology nursing society,NA,400,NULL,nurse,NULL,oncology,NULL,[],NULL,['NULL'],[],oncology nurse salary,home - albuquerque - ons communities - oncology nursing ...,https://communities.ons.org/albuquerque/home,"rn inpt i | unm hospital. 11 hours ago. albuquerque, new mexico, position summary: adult oncology inpatient unit with stem cell transplant.","search results for ""albuquerque chapter"" - oncology nursing ...",https://www.ons.org/acq-search?search=albuquerque+chapter,"the oncology nursing society (ons) is a professional association of more than 35,000 members committed to promoting excellence in oncology nursing and the ..."
alliance for aging research,alliance for aging research,NA,13500,Alliance for Aging Research,research,agingresearch.org,aging,"The Alliance for Aging Research is a non-profit organization based in Washington, D.C. that was founded to promote medical research to improve the human experience of aging. Founded in 1986 by Daniel Perry, the Alliance also advocates and implements health education for consumers and health professionals.","['founded: 1986', 'headquarters: washington, d.c.']",https://en.wikipedia.org/wiki/alliance_for_aging_research,['NULL'],[],aging organizationsamerican society on agingamerican aging associationnational council on agingamerican federation for aging...gerontolo... society of americaillinois department on agingsee more,alliance for aging research - guidestar profile,https://www.guidestar.org/profile/54-1379174,"the alliance for aging research is the leading nonprofit organization dedicated to accelerating the pace of scientific discoveries and their application to vastly ...apr 6, 2017 · uploaded by alliance for aging research",alliance for aging research | linkedin,https://www.linkedin.com/company/alliance-for-aging-research,"who we are the alliance for aging research, www.agingresearch.org, is the leading non-profit organization dedicated to accelerating the pace of scientific ..."
academy of managed care pharmacy,academy of managed care pharmacy,NA,179142.75,NULL,pharmacist,amcp.org,managed care,AMCP is a professional organization representing the interests of pharmacists who practice in managed care settings. It publishes the Journal of Managed Care & Specialty Pharmacy.,"['abbreviation: amcp', 'headquarters: alexandria, va', 'type of business: professional association', 'membership fees: $275 per year amcp.org']",https://en.wikipedia.org/wiki/academy_of_managed_care_pharmacy,"['President', 'Contact', 'Goals', 'Refund']","['What does a managed care pharmacist do?', 'How many members does AMCP have?', 'Can pharmacists be involved in managed care activities?', 'What is a managed care pharmacy residency?']",academy of managed care pharmacy 2021what is managed care pharmacyacademy of managed care pharmacy nexusamcp nexus 2020 academy of managed care pharmacyamcp 2020what does amcp stand foramcp nexus 2021amcp 2021,academy of managed care pharmacy - wikipedia,https://en.wikipedia.org/wiki/academy_of_managed_care_pharmacy,amcp (academy of managed care pharmacy) is a professional organization representing the interests of pharmacists who practice in managed care settings.,amcp annual meeting 2021 | deﬁning managed care ...,https://2021.amcpannual.org/,critical conversations: sessions to kick off amcp 2021 discussing the most pressing issues in health care and managed care pharmacy. daily keynote speakers: ...
am society of pain mgmt nurses wisconsin chapter,society of pain mgmt nurses,wisconsin,1500,NULL,nurses,NULL,pain,NULL,[],NULL,['NULL'],[],american society for pain management nursing position statementamerican society for pain management nursing position statement with clinical practice guidelinespain management nursing pdfamerican pain society guidelinesnurses pain managementpain management nursing certificationnurses guide to pain managementresearch on pain management in nursing,american society for pain management nursing,http://www.aspmn.org/,to advance and promote optimal nursing care for people affected by pain by promoting best nursing practices ... what is the role of the pain management nurse?missing: wisconsin | must include: wisconsinannual conference · professional dev. · join aspmn · calendar of events,local chapters,http://www.aspmn.org/chapters/pages/localchapters.aspx,"chapter leaders - all chapter resources have been moved to the new basecamp site. please contact ... susan m. jervik, president lsjervik@verizon.net ... wisconsin. wisconsin chapter - chartered 2002. marilyn bazinski, president ... ©copyright 2021 american society for pain management nursing® - admin."
american academy of fam physicians alaska chapter,academy of family physicians,alaska,4875,NULL,physician,NULL,family,NULL,[],NULL,['NULL'],[],alaska cmealaska cme 2022anchorage cme,alaska academy of family physicians,https://alaskaafp.org/,"also course saturday november 13, 2021 anchorage, ak ... aafp immunization information aafp advocacy and government ... the mission of alaska academy of family physicians is to improve the health of our patients, their families, and the alaskan people; to advance and represent the specialty of family medicine; ...physician of the year · cme · news · board of directors",2021 winter update - alaska academy of family physicians,https://alaskaafp.org/2019-winter-update/,"due to covid 19 this conference has gone virtual akafp virtual winter update march 12-14, 2021 online registration click here registration $275 ...missing: american | must include: american"
american academy of family phys nj dba nj academy of family physicians,academy of family physicians,new jersey,27287.5,NULL,physician,NULL,family,NULL,[],NULL,['NULL'],[],njafp conference 2021njafp family physician of the yearaafpfamily doctor near menjafp staff,new jersey academy of family physicians: njafp,https://njafp.org/,"with nearly 2000 members, the njafp is the largest primary care medical society in the state and a chapter of the american academy of family physicians.missing: dba | must include: dbaabout njafp · staff · board & committees · perspectives",who we are – njafp - new jersey academy of family ...,https://njafp.org/who-we-are/,"with nearly 2000 members, including active practicing family physicians, residents in family medicine, and medical students interested in the specialty, the njafp ...missing: dba | must include: dba"
american academy of family physicians,academy of family physicians,american,3152878.33,NULL,physician,NULL,family,NULL,[],NULL,['NULL'],"['Is American Family Physician reliable?', 'What does the AAFP do?', 'Where is AAFP located?', 'How is AAFP funded?']",american board of family medicineamerican academy of family physicians foundationmaryland academy of family physiciansaafp loginamerican academy of pediatricsaafp conference 2021american family physiciancollege of family medicine,american academy of family physicians - wikipedia,https://en.wikipedia.org/wiki/american_academy_of_family_physicians,"the american academy of family physicians (aafp) was founded in 1947 to promote and maintain high quality standards for family doctors who are providing ...president: ada d. stewart, md, faafpheadquarters: leawood, kansas.mw-parser-o...membership: 136,700staff: 415",district of columbia academy of family physicians,https://dcafp.org/,"students optimistic about future of family medicine. my school doesn't have a family medicine program, so we have amazing community doctors come in and talk ..."
american academy of family physicians - north dakota chapter,academy of family physicians,north dakota,250,NULL,physician,NULL,family,NULL,[],NULL,['NULL'],[],big sky medical conference 2020big sky family medicine conferenceski cme 2021ski cme 2022north dakota big sky conferencefamily physician salarytime in north dakota,north dakota academy of family physicians: home,https://www.ndafp.org/,north dakota academy of family physicians ... the mission of the ndafp is to promote and support access to excellent health care for all north dakotans through ...cme · about ndafp · news · events,annual meeting - north dakota academy of family physicians,https://www.ndafp.org/cme/annual-meeting/,"active, life, resident and student members along with other medical professionals are invited to join us. this will be an excellent opportunity for all to combine ...missing: chapter | must include: chapter"
american academy of family physicians foundation,academy of family physicians,american,240000,NULL,physician,NULL,family,NULL,[],NULL,['NULL'],"['Is the American Academy of Family Physicians reliable?', 'What is the AAFP Foundation?', 'How is AAFP funded?', 'Where is AAFP located?']",family doctor organizationamerican board of family me...american academy of family ph...acofpthe college of family physicians...world organizati... of family...royal australian college of...see morenational medical organizations,american academy of family physicians: aafp home,https://www.aafp.org/home.html,"american academy of family physicians represents 134600 family physicians, residents, & students, providing advocacy, education, patient & practice ...",affiliated organizations: creating a community - american ...,https://www.aafp.org/about/who-is-the-aafp/affiliated-organizations.html,"as the philanthropic arm of the american academy of family physicians, the aafp foundation advances the values of family medicine by promoting humanitarian ..."
american academy of hospice and palliative medicine,academy of hospice and palliative medicine,american,202264.81,American Academy of Hospice and Palliative Medicine,,aahpm.org,hospice,"The American Academy of Hospice and Palliative Medicine is a professional organization for physicians specializing in Hospice and Palliative Medicine, headquartered in Chicago, Illinois.","['tax id: 59-2918299', 'founded: 1988', 'headquarters: chicago, il', 'motto: advancing the science of comfort. affirming the art of caring.', 'president: joanne wolfe, md mph (2019-2020)', 'contact: 847.375.4712 aahpm.org']",https://en.wikipedia.org/wiki/american_academy_of_hospice_and_palliative_medicine,"['Membership fees', 'Refund', 'Ceo']",[],american board of hospice and palliative medicineamerican journal of hospice and palliative medicinehospice and palliative care associationhospice and palliative nurses associationhospice and palliative medicine salaryhospice and palliative care certificationaahpm 2021hospice and palliative care conferences 2020,american academy of hospice and palliative medicine,http://aahpm.org/,american academy of hospice and palliative medicine is the professional organization for professionals specializing in hospice and palliative medicine.,american academy of hospice and palliative medicine | aahpm,https://www.capc.org/collaborations/american-academy-hospice-and-palliative-medicine-aahpm/,american academy of hospice and palliative medicine (aahpm) is the national professional organization for physicians practicing the medical sub-specialty of ...
american academy of neurology education & research f,academy of neurology,american,37500,NULL,,NULL,neurology,NULL,[],NULL,['NULL'],[],aan neuroscience research prize 2021aan neuroscience research prize winnersaan neuroscience research prize 2022american academy of neurology journalamerican academy of neurology 2020futures in neurologic research aanaan 2021aan neuroscience research competition,research programs: view programs and apply | aan,https://www.aan.com/education-and-research/research/aan-research-program/,"the aan has launched an ambitious research program, furthering our commitment ... american academy of neurology, american brain foundation, alzheimer's ...",aan awards and scholarships: learn more and apply | aan,https://www.aan.com/education-and-research/research/awards-fellowships/,"education awards — association of indian neurologists in america (aina) lifetime achievement award ... this award is sponsored by the american brain foundation. ... ethical problems during your education, research activities, ..."
american academy of neurology insti,academy of neurology,american,10000,NULL,,NULL,neurology,NULL,[],NULL,['NULL'],[],neurologist specialtieschild neurologysleep medicineneuro‑onc...neuromus... medicineclinical neurophys...vascular neurologysee moreneurology professional organizationsneuroscience,american academy of neurology: neurology resources | aan,https://www.aan.com/,the american academy of neurology is dedicated to promoting the highest quality patient-centered care and enhancing member career satisfaction.annual meeting · clinical practice guidelines · membership information · education,american academy of neurology institute | accme,https://www.accme.org/find-cme-provider/american-academy-neurology-institute,"american academy of neurology institute. provider information. 21 activities. 1,353 hours of instruction. 19,124 physician participants. 5,670 other learners."
american academy of nurse parctitioners aka aanp foundation,academy of nurse practitioners,american,138550,NA,nurse,NA,general,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
american academy of nurse practitioners,academy of nurse practitioners,american,332000,American Association of Nurse Practitioners,nurse,aanp.org,general,The American Association of Nurse Practitioners is an American organization formed in 2013 by a merger between the American Academy of Nurse Practitioners and the American College of Nurse Practitioners to provide nurse practitioners with a unified way to network and advocate their issues.,"['founded: january 1, 2013', 'headquarters location: austin, tx', 'passing score: 500 mometrix.com']",https://en.wikipedia.org/wiki/american_association_of_nurse_practitioners,"['Goals', 'Renewal fee', 'Members', 'Ceo']","['What does American Association of Nurse Practitioners do?', 'Is Aanp and Aanpcb the same?', 'What certifications can I get as an FNP?', 'How do I become a nurse practitioner in USA?']",nurse practitioner organizationsamerican nurses credential...american association of college...american nurses associationsigma theta tauemergency nurses associationamerican college of nurse‑mid...see more,aanp | the american association of nurse practitioners,https://www.aanp.org/,aanp is the largest and only full-service national professional membership organization for nps of all specialties.login · ce opportunities · membership · my aanp,nurse practitioner (np) certification - aanp - american ...,https://www.aanp.org/student-resources/np-certification,the american academy of nurse practitioners certification board (aanpcb) · the american nurses credentialing center (ancc) certification program · american ...
american academy of orthopaedic surgeons,academy of orthopaedic surgeons,american,19800,American Academy of Orthopaedic Surgeons,physician,aaos.org,orthopedic,"The American Academy of Orthopaedic Surgeons is an orthopedic organization. Founded at Northwestern University in 1933, as of 2015 AAOS had grown to include about 39,000 members. The group provides education and practice management services for orthopedic surgeons and allied health professionals.","['ceo: thomas e. arend, jr. (apr 1, 2017–)', 'headquarters: rosemont, il', 'founded: 1933', 'subsidiary: aaos committee on professional liability', 'impact factor: 2.286 lww.com']",https://en.wikipedia.org/wiki/american_academy_of_orthopaedic_surgeons,"['Cancellation', 'Convention', 'Value', 'Salary']","['How many orthopedic surgeons are in the US 2020?', 'How long does it take to become an orthopedic surgeon in USA?', 'What is the best hospital for orthopedic surgery?', 'How much do orthopedic surgeons make in America?']",american academy of orthopaedic surgeonsamerican academy of orthopaedic surgeons 2020american academy of orthopaedic surgeonsjournal of the american academy of orthopaedic surgeonsamerican academy of orthopaedic surgeonsaaos guidelinesjournal of the american academy of orthopaedic surgeonsorthopedic surgeon,american academy of orthopaedic surgeons - wikipedia,https://en.wikipedia.org/wiki/american_academy_of_orthopaedic_surgeons,"the american academy of orthopaedic surgeons (aaos) is an orthopedic organization. founded at northwestern university in 1933, as of 2015 aaos had ...",jaaos - journal of the american academy of orthopaedic ...,https://journals.lww.com/jaaos/pages/default.aspx,"journal of the american academy of orthopaedic surgeons. 29(14):e722-e731, july 15, 2021. abstract. abstract. favorites. pdf · get content & permissions."
american academy of osteopathy,academy of osteopathy,american,1050,American Academy of Osteopathy,,academyofosteopathy.org,osteopathic,"The American Academy of Osteopathy is a non-profit organization for osteopathic medical education. Members include osteopathic physicians and medical students, supporters and affiliates, sponsors, and international members.","['founded: 1937', 'headquarters: indianapolis, in', 'president: paul r. rennie, do, faao', 'president-elect: richard g. schuster, do', 'immediate past president: kendi l. hensel, do, phd, faao', 'formerly called: academy of applied osteopathy']",https://en.wikipedia.org/wiki/american_academy_of_osteopathy,['NULL'],"['What does an osteopathic doctor do?', 'How is osteopathic medicine different?', 'Is Doctor of Osteopathy recognized internationally?', 'Are osteopaths doctors in USA?']",american school of osteopathy,american academy of osteopathy: osteopathic medicine | do,https://www.academyofosteopathy.org/,"the american academy of osteopathy supports osteopathic physicians via its mission to teach, advocate and research the science of osteopathic medicine.",american academy of osteopathy - wikipedia,https://en.wikipedia.org/wiki/american_academy_of_osteopathy,the american academy of osteopathy (aao) is a non-profit organization for osteopathic medical education. members include osteopathic physicians and ...
american academy of pain management,academy of pain management,american,1455409,NULL,,NULL,pain,NULL,[],NULL,['NULL'],"['What is the American Academy of Pain Medicine?', 'What is diplomate of the American Academy of Pain Management?', 'Can pain management doctors prescribe medication?', 'Do chronic pain patients have rights?']",american academy of integrative pain managementamerican academy of pain management guidelinesamerican academy of pain management certification verificationamerican academy of pain management 2019american academy of pain management diplomateamerican academy of pain management board certificationamerican academy of pain management membershipamerican academy of pain management board certification verification,about-the-american-academy-of-pain-medicine | american ...,https://painmed.org/about-the-american-academy-of-pain-medicine/,"founded in 1983, aapm is the medical specialty society representing physicians and their team members practicing in the field of pain medicine. the academy ...",american academy of pain medicine,https://www.theacpa.org/acpa_maze/american-academy-of-pain-medicine/,american academy of pain medicine ... the american academy of pain medicine (aapm) is the medical specialty society representing physicians practicing in the ...
american academy of pain medicine,academy of pain medicine,american,2197630.88,NA,,NA,pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
