organization,broad_org,state,type,position,subtype,department,year,amount
alaska academy of physician,academy of family physicians,alaska,medical,physician,family,medical ed,2008,5000
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2004,900
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2005,1350
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2011,875
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2013,875
american academy of fam physicians alaska chapter,academy of family physicians,alaska,medical,physician,family,conventions,2014,875
american college of physicians alaska chapter acp,college of physicians,alaska,medical,physician,general,conventions,2014,1000
american college of physicians alaska chapter acp,college of physicians,alaska,medical,physician,general,conventions,2015,1000
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,general,conventions,2004,500
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,general,lecture program,2002,1000
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,general,medical ed,2004,1000
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,general,conventions,2007,750
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,general,conventions,2008,750
alaska nurse practitioner assoc,nurse practitioner association,alaska,medical,nurse,general,conventions,2009,750
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,medical,general,osteopathic,conventions,2012,800
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,medical,general,osteopathic,medical ed,2002,7000
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,medical,general,osteopathic,medical ed,2003,7000
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,medical,general,osteopathic,medical ed,2008,2000
alaska osteopathic medical assoc,osteopathic medical assoc,alaska,medical,general,osteopathic,medical ed,2009,2000
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,general,conventions,2005,750
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,general,conventions,2015,800
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,general,lecture program,2003,1500
alaska pharmacists assoc,pharmacists association,alaska,medical,pharmacist,general,medical ed,2005,3500
arizona academy family physicians,academy of family physicians,arizona,medical,physician,family,conventions,2003,190.26
arizona academy family physicians,academy of family physicians,arizona,medical,physician,family,conventions,2004,895
arizona academy family physicians,academy of family physicians,arizona,medical,physician,family,conventions,2005,895
arizona academy family physicians,academy of family physicians,arizona,medical,physician,family,managedcare ff,2003,895.99
arizona academy family physicians,academy of family physicians,arizona,medical,physician,family,medical ed,2003,2500
arizona academy family physicians,academy of family physicians,arizona,medical,physician,family,medical ed,2009,2500
arizona state association for physician assistants,association for physician assistants,arizona,medical,physician assistant,general,conventions,2002,400
arizona state association for physician assistants,association for physician assistants,arizona,medical,physician assistant,general,conventions,2003,400
arizona state association for physician assistants,association for physician assistants,arizona,medical,physician assistant,general,lecture program,2002,1500
arizona state association for physician assistants,association for physician assistants,arizona,medical,physician assistant,general,medical ed,2003,3000
arizona state association for physician assistants,association for physician assistants,arizona,medical,physician assistant,general,medical ed,2009,2500
assoc of rehab nurses ctrl az ch,association of rehab nurses,arizona,medical,nurse,physical/rehab,conventions,2003,175
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,general counsel,2005,2093.34
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,general counsel,2006,1000
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,general counsel,2007,1000
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,general counsel,2009,1000
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,general counsel,2011,2375
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,general counsel,2013,1000
arizona state board of pharmacy,board of pharmacy,arizona,medical,pharmacist,general,market strategies,2003,200
central arizona chapter cmsa,case management society,arizona,medical,case manager,other,managedcare ff,2002,400
arizona geriatrics society,geriatrics society,arizona,medical,general,gerentology,conventions,2002,800
arizona geriatrics society,geriatrics society,arizona,medical,general,gerentology,conventions,2003,800
arizona geriatrics society,geriatrics society,arizona,medical,general,gerentology,conventions,2005,900
arizona geriatrics society,geriatrics society,arizona,medical,general,gerentology,lecture program,2002,1800
arizona geriatrics society,geriatrics society,arizona,medical,general,gerentology,medical ed,2003,1000
arizona hospice & palliative care,hospice and palliative care,arizona,medical,general,hospice,conventions,2002,100
arizona hospice & palliative care,hospice and palliative care,arizona,medical,general,hospice,conventions,2003,750
arizona hospice & palliative care,hospice and palliative care,arizona,medical,general,hospice,medical ed,2003,1000
arizona medical association,medical association,arizona,medical,general,general,lecture program,2002,3000
arizona nurses association,nurses association,arizona,medical,nurse,general,conventions,2003,750
arizona nurses association,nurses association,arizona,medical,nurse,general,lecture programs,2003,1000
arizona nurses association,nurses association,arizona,medical,nurse,general,medical ed,2006,500
southern arizona oncology nursing society,oncology nursing society,arizona,medical,nurse,oncology,conventions,2003,1000
arizona osteopathic medical assoc,osteopathic medical assoc,arizona,medical,general,osteopathic,conventions,2003,975
arizona osteopathic medical assoc,osteopathic medical assoc,arizona,medical,general,osteopathic,conventions,2004,975
arizona osteopathic medical assoc,osteopathic medical assoc,arizona,medical,general,osteopathic,conventions,2005,1000
arizona osteopathic medical assoc,osteopathic medical assoc,arizona,medical,general,osteopathic,conventions,2007,1450
arizona osteopathic medical assoc,osteopathic medical assoc,arizona,medical,general,osteopathic,conventions,2008,1100
arizona osteopathic medical assoc,osteopathic medical assoc,arizona,medical,general,osteopathic,medical ed,2004,3000
arizona pain society,pain society,arizona,medical,general,pain,conventions,2008,1000
arizona pain society,pain society,arizona,medical,general,pain,medical ed,2005,3000
arizona perianesthesia nurses associaton,perianesthesia nurses associaton,arizona,medical,nurse,anesthesia,lecture program,2002,125
arizona pharmacists association,pharmacists association,arizona,medical,pharmacist,general,conventions,2005,250
arizona pharmacists association,pharmacists association,arizona,medical,pharmacist,general,managedcare ff,2002,895
arizona pharmacists association,pharmacists association,arizona,medical,pharmacist,general,managedcare ff,2003,895
arizona pharmacists association,pharmacists association,arizona,medical,pharmacist,general,medical ed,2004,3500
arizona society of physical medicine & rehabilitation,society of physical medicine & rehabilitation,arizona,medical,general,physical/rehab,conventions,2007,300
arizona society of physical medicine & rehabilitation,society of physical medicine & rehabilitation,arizona,medical,general,physical/rehab,conventions,2011,750
southern arizona nurse practitioners,southern nurse practitioners,arizona,medical,nurse,general,conventions,2003,500
california academy of family physicians,academy of family physicians,california,medical,physician,family,lecture program,2003,1500
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2003,15784.18
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2002,127865.72
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2003,147534.43
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2004,175500
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2005,267000
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2009,91300
california academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2011,125000
california academy of family physicians,academy of family physicians,california,medical,physician,family,other,2004,157000
california academy of family physicians,academy of family physicians,california,medical,physician,family,sales admin,2002,44596.96
san diego academy of family physicians,academy of family physicians,california,medical,physician,family,medical ed,2002,5000
san diego academy of family physicians,academy of family physicians,california,medical,physician,family,other,2002,5000
california academy physician assistants,academy of physician assistants,california,medical,physician assistant,general,conventions,2003,760
california academy physician assistants,academy of physician assistants,california,medical,physician assistant,general,medical ed,2012,5000
california academy physician assistants,academy of physician assistants,california,medical,physician assistant,general,medical ed,2013,5000
california academy physician assistants,academy of physician assistants,california,medical,physician assistant,general,medical ed,2014,12500
arthritis foundation northern california chapter,arthritis foundation inc,california,medical,general,arthritis,st. gov leg  aff,2009,1000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,conventions,2002,1000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,conventions,2004,1000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,medical ed,2004,5000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,medical ed,2005,5000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,medical ed,2007,1000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,medical ed,2009,5000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,medical ed,2010,5000
american college of osteopathic family physicians ca,college of osteopathic family physicians,california,medical,physician,osteopathic,promotions rx,2013,1350
american college of physicans southern california region,college of physicians,california,medical,physician,general,medical ed,2003,3000
greater northern california chapter oncology nursing,greater northern chapter oncology nursing,california,medical,nurse,oncology,lecture program,2002,2500
greater sacramento chapter oncology nursing society,greater sacramento chapter oncology nursing society,california,medical,nurse,oncology,medical ed,2003,600
m a g n u m inc,m a g n u m inc,none,construction,NA,NA,pur pharma fund,2003,15000
national consumers league,consumers league,national,consumer advocacy,NA,NA,pur pharma fund,2002,5000
national consumers league,consumers league,national,consumer advocacy,NA,NA,pur pharma fund,2009,25000
national consumers league,consumers league,national,consumer advocacy,NA,NA,pur pharma fund,2010,25000
national consumers league,consumers league,national,consumer advocacy,NA,NA,st. gov leg  aff,2012,50000
national consumers league,consumers league,national,consumer advocacy,NA,NA,st. gov leg  aff,2013,25000
partnership for a drug free community of south florida inc,partnership for a drug free america inc,florida,drug abuse prevention,NA,NA,pur pharma fund,2004,1000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,patient & professional relations,2014,15000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,patient & professional relations,2015,30000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,public affairs,2002,20000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,public affairs,2006,1000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2002,4203
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2003,200000
indian medical association of southern california,medical association,california,medical,general,general,medical ed,2012,5000
medical board of california,medical board,california,medical,general,general,general counsel,2003,4.25
medical board of california,medical board,california,medical,general,general,general counsel,2004,198.5
medical board of california,medical board,california,medical,general,general,general counsel,2005,22
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2004,1000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2005,20000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2006,3500
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2007,5000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2008,10000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2009,66500
california association for nurse practitioners,nurse practitioner association,california,medical,nurse,general,conventions,2005,1000
california association for nurse practitioners,nurse practitioner association,california,medical,nurse,general,medical ed,2003,7500
california association for nurse practitioners,nurse practitioner association,california,medical,nurse,general,medical ed,2007,2500
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,analgesic,2011,5000
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,health policy,2009,5000
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,health policy,2010,21525
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,health policy,2012,5000
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,health policy,2014,4500
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,lecture program,2002,4500
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,lecture program,2003,4848
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,managedcare ff,2002,1400
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,managedcare ff,2003,3900
california pharmacists assoc educational foundation,pharmacists association,california,medical,pharmacist,other,other,2002,2000
california society of addiction medicine,society of addiction medicine,california,medical,general,addiction,medical ed,2002,5000
california society of addiction medicine,society of addiction medicine,california,medical,general,addiction,medical ed,2003,5000
california society of health system pharmacists,society of health system pharmacists,california,medical,pharmacist,other,lecture program,2002,2500
california society of health system pharmacists,society of health system pharmacists,california,medical,pharmacist,other,managedcare ff,2002,2000
california society of health system pharmacists,society of health system pharmacists,california,medical,pharmacist,other,medical ed,2003,6000
california society of health system pharmacists,society of health system pharmacists,california,medical,pharmacist,other,medical ed,2007,4700
california society of health system pharmacists,society of health system pharmacists,california,medical,pharmacist,general,medical liason,2002,525
sacramento valley society of health systems pharmacist,society of health system pharmacists,california,medical,pharmacist,general,managedcare ff,2002,250
san diego society of health system pharmachy - sdshp,society of health system pharmacists,california,medical,pharmacist,general,sales force,2002,500
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2010,175000
california society of physical medicine & rehabilitation,society of physical medicine & rehabilitation,california,medical,general,physical/rehab,conventions,2014,1000
california society of physical medicine & rehabilitation,society of physical medicine & rehabilitation,california,medical,general,physical/rehab,medical ed,2003,1000
california society of physical medicine & rehabilitation,society of physical medicine & rehabilitation,california,medical,general,physical/rehab,medical ed,2004,1000
sonoma county oncology nursing soc,sonoma county oncology nursing soc,california,medical,nurse,oncology,conventions,2006,500
colorado academy of family physicians,academy of family physicians,colorado,medical,physician,family,conventions,2003,850
colorado academy of family physicians,academy of family physicians,colorado,medical,physician,family,lecture program,2002,2000
colorado academy of family physicians,academy of family physicians,colorado,medical,physician,family,medical ed,2010,5000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2011,70000
state of colorado board of pharmacy,board of pharmacy,colorado,medical,pharmacist,general,general counsel,2002,500
state of colorado board of pharmacy,board of pharmacy,colorado,medical,pharmacist,general,general counsel,2003,500
state of colorado board of pharmacy,board of pharmacy,colorado,medical,pharmacist,general,general counsel,2004,800
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,pur pharma fund,2012,30000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,st. gov leg  aff,2012,45000
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,st. gov leg  aff,2013,75000
colorado medical directors assoc,medical directors association,colorado,medical,medical director,other,lecture program,2002,650
metro denver oncology nursing soc,oncology nursing society,colorado,medical,nurse,oncology,conventions,2002,500
metro denver oncology nursing soc,oncology nursing society,colorado,medical,nurse,oncology,conventions,2003,500
com anti drug coalitions of america,anti drug coalitions of america,none,drug abuse prevention,NA,NA,st. gov leg  aff,2014,35000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,admin servs,2005,45
colorado society of osteopathic medicine,society of osteopathic medicine,colorado,medical,general,osteopathic,conventions,2004,1200
colorado society of osteopathic medicine,society of osteopathic medicine,colorado,medical,general,osteopathic,medical ed,2007,5000
colorado society of osteopathic medicine,society of osteopathic medicine,colorado,medical,general,osteopathic,other,2002,3500
connecticut academy of family physicians,academy of family physicians,connecticut,medical,physician,family,conventions,2003,975
connecticut academy of family physicians,academy of family physicians,connecticut,medical,physician,family,conventions,2014,1300
connecticut academy of family physicians,academy of family physicians,connecticut,medical,physician,family,lecture program,2002,2000
connecticut academy of family physicians,academy of family physicians,connecticut,medical,physician,family,medical ed,2005,2500
connecticut academy of physician assistants,academy of physician assistants,connecticut,medical,physician assistant,other,conventions,2002,500
connecticut academy of physician assistants,academy of physician assistants,connecticut,medical,physician assistant,other,conventions,2004,500
connecticut academy of physician assistants,academy of physician assistants,connecticut,medical,physician assistant,other,lecture program,2003,2000
connecticut academy of physician assistants,academy of physician assistants,connecticut,medical,physician assistant,other,medical ed,2003,2500
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2002,10000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2003,10000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2004,10000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2006,1000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2007,5000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2008,10000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2009,120000
connecticut chapter of cmsa inc,case management society,connecticut,medical,case manager,general,conventions,2004,400
connecticut chapter of the american college of physicians inc,college of physicians,connecticut,medical,physician,general,conventions,2008,800
connecticut chapter of the american college of physicians inc,college of physicians,connecticut,medical,physician,general,conventions,2010,800
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2010,50000
connecticut orthopaedic society,orthopaedic society,connecticut,medical,general,orthopaedic,lecture program,2002,750
ct osteopathic medical society,osteopathic medical society,connecticut,medical,general,osteopathic,medical ed,2006,3000
connecticut pain society,pain society,connecticut,medical,general,pain,medical ed,2002,2000
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,conventions,2004,750
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,conventions,2008,850
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,health policy,2009,3000
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,health policy,2011,290
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,managedcare ff,2003,750
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2007,7500
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2008,6650
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2009,5000
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2010,17850
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2011,10000
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2012,6000
connecticut pharmacists assoc,pharmacists association,connecticut,medical,pharmacist,other,medical ed,2014,10000
connecticut state society of anesthesiologists inc,society of anesthesiologists,connecticut,medical,physician,anesthesia,clinical rsch,2002,200
connecticut state society of anesthesiologists inc,society of anesthesiologists,connecticut,medical,physician,anesthesia,clinical rsch 3,2003,200
connecticut society of health system pharmacists,society of health system pharmacists,connecticut,medical,pharmacist,other,lecture program,2002,2000
connecticut society of health system pharmacists,society of health system pharmacists,connecticut,medical,pharmacist,other,medical ed,2006,1000
american society of pain mgmt nurses ct chapter,society of pain management nurses,connecticut,medical,nurse,pain,lecture programs,2003,1500
american society of pain mgmt nurses ct chapter,society of pain management nurses,connecticut,medical,nurse,pain,medical ed,2007,6500
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,pur pharma fund,2011,30000
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,st. gov leg  aff,2012,90060
governors prevention,governors prevention,none,drug abuse prevention,NA,NA,st. gov leg  aff,2014,100000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,patient & professional relations,2014,225000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,public affairs,2004,2497.36
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,public affairs,2012,25000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,public affairs,2013,17500
delaware academy of family physicians,academy of family physicians,delaware,medical,physician,family,conventions,2003,400
delaware academy of family physicians,academy of family physicians,delaware,medical,physician,family,conventions,2004,650
delaware academy of family physicians,academy of family physicians,delaware,medical,physician,family,lecture program,2003,650
delaware chapter of american college of physiciansasim,college of physicians,delaware,medical,physician,general,conventions,2004,1000
american lung assoc of de,lung association,delaware,medical,general,respiratory,conventions,2003,350
delaware nurses association,nurses association,delaware,medical,nurse,general,conventions,2004,800
delaware nurses association,nurses association,delaware,medical,nurse,general,conventions,2005,400
delaware nurses association,nurses association,delaware,medical,nurse,general,sales force,2003,400
delaware pharmacists society,pharmacists association,delaware,medical,pharmacist,general,conventions,2008,500
delaware pharmacists society,pharmacists association,delaware,medical,pharmacist,general,conventions,2014,495
delaware pharmacists society,pharmacists association,delaware,medical,pharmacist,general,corp.security,2005,500
delaware pharmacists society,pharmacists association,delaware,medical,pharmacist,general,lecture program,2003,2500
delaware valley society of health system pharmacists,society of health system pharmacists,delaware,medical,pharmacist,general,lecture program,2004,1005
american hospice foundation dc,hospice foundation,district of columbia,medical,general,hospice,medical ed,2011,75000
american hospice foundation dc,hospice foundation,district of columbia,medical,general,hospice,medical ed,2013,50000
florida academy of family phys,academy of family physicians,florida,medical,physician,family,conventions,2003,900
florida academy of family phys,academy of family physicians,florida,medical,physician,family,medical ed,2005,10000
florida academy of family phys,academy of family physicians,florida,medical,physician,family,prof relations,2003,10100
florida academy of pain medicine,academy of pain medicine,florida,medical,general,pain,conventions,2002,950
florida academy of pain medicine,academy of pain medicine,florida,medical,general,pain,conventions,2003,1000
florida academy of pain medicine,academy of pain medicine,florida,medical,general,pain,conventions,2014,1500
florida academy of pain medicine,academy of pain medicine,florida,medical,general,pain,medical ed,2005,3000
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,conventions,2004,695
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,conventions,2014,1500
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,lecture program,2002,3000
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,medical ed,2003,3000
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,medical ed,2009,5000
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,medical ed,2010,5000
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,other,medical ed,2014,5000
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,general,medical ed,2012,13380
florida academy of physician assistants,academy of physician assistants,florida,medical,physician assistant,general,medical ed,2013,5000
arthritis foundation florida ch,arthritis foundation inc,florida,medical,general,arthritis,st. gov leg  aff,2006,1000
arthritis foundation florida ch,arthritis foundation inc,florida,medical,general,arthritis,st. gov leg  aff,2007,1000
arthritis foundation florida ch,arthritis foundation inc,florida,medical,general,arthritis,st. gov leg  aff,2010,1000
arthritis foundation florida ch,arthritis foundation inc,florida,medical,general,arthritis,st. gov leg  aff,2012,1000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,public affairs,2014,25000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2003,260000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2004,251000
florida association directors of nursing administration ltc,assoc of directors of nursing administration,florida,medical,nurse,other,conventions,2004,750
florida association directors of nursing administration ltc,assoc of directors of nursing administration,florida,medical,nurse,other,medical ed,2009,5000
florida association directors of nursing administration ltc,assoc of directors of nursing administration,florida,medical,nurse,other,medical ed,2010,10000
florida association directors of nursing administration ltc,assoc of directors of nursing administration,florida,medical,nurse,other,medical ed,2011,10000
florida association directors of nursing administration ltc,assoc of directors of nursing administration,florida,medical,nurse,other,medical ed,2012,10000
american cancer society fl,cancer society,florida,medical,general,oncology,conventions,2003,1200
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2005,250000
partnership for a drug free america inc,partnership for a drug free america inc,none,drug abuse prevention,NA,NA,pur pharma fund,2006,27500
florida geriatrics society,geriatrics society,florida,medical,general,gerentology,conventions,2003,750
hope of southwest florida inc hope hospice & palliative care,hope of southwest inc hope hospice & palliative care,florida,medical,general,hospice,other,2004,6182.06
