organization,department,year,amount
academy of managed care pharmacy,market strategies,2011,0
academy of managed care pharmacy,market strategies,2012,3939.75
academy of managed care pharmacy,market strategies,2013,0
academy of managed care pharmacy,market strategies,2014,0
academy of managed care pharmacy,market strategies,2015,0
academy of managed care pharmacy,medical ed,2002,0
academy of managed care pharmacy,medical ed,2003,0
academy of managed care pharmacy,medical ed,2004,0
academy of managed care pharmacy,medical ed,2005,1000
academy of managed care pharmacy,medical ed,2006,0
academy of managed care pharmacy,medical ed,2007,0
academy of managed care pharmacy,medical ed,2008,0
academy of managed care pharmacy,medical ed,2009,0
academy of managed care pharmacy,medical ed,2010,0
academy of managed care pharmacy,medical ed,2011,0
academy of managed care pharmacy,medical ed,2012,0
academy of managed care pharmacy,medical ed,2013,0
academy of managed care pharmacy,medical ed,2014,0
academy of managed care pharmacy,medical ed,2015,0
academy of managed care pharmacy,other,2002,0
academy of managed care pharmacy,other,2003,0
academy of managed care pharmacy,other,2004,0
academy of managed care pharmacy,other,2005,0
academy of managed care pharmacy,other,2006,0
academy of managed care pharmacy,other,2007,0
academy of managed care pharmacy,other,2008,0
academy of managed care pharmacy,other,2009,0
academy of managed care pharmacy,other,2010,-228
academy of managed care pharmacy,other,2011,0
academy of managed care pharmacy,other,2012,0
academy of managed care pharmacy,other,2013,0
academy of managed care pharmacy,other,2014,0
academy of managed care pharmacy,other,2015,0
academy of managed care pharmacy,patient & professional relations,2002,0
academy of managed care pharmacy,patient & professional relations,2003,0
academy of managed care pharmacy,patient & professional relations,2004,0
academy of managed care pharmacy,patient & professional relations,2005,0
academy of managed care pharmacy,patient & professional relations,2006,0
academy of managed care pharmacy,patient & professional relations,2007,0
academy of managed care pharmacy,patient & professional relations,2008,0
academy of managed care pharmacy,patient & professional relations,2009,0
academy of managed care pharmacy,patient & professional relations,2010,0
academy of managed care pharmacy,patient & professional relations,2011,0
academy of managed care pharmacy,patient & professional relations,2012,0
academy of managed care pharmacy,patient & professional relations,2013,0
academy of managed care pharmacy,patient & professional relations,2014,15000
academy of managed care pharmacy,patient & professional relations,2015,0
academy of managed care pharmacy,prof relations,2002,8500
academy of managed care pharmacy,prof relations,2003,0
academy of managed care pharmacy,prof relations,2004,8500
academy of managed care pharmacy,prof relations,2005,0
academy of managed care pharmacy,prof relations,2006,0
academy of managed care pharmacy,prof relations,2007,0
academy of managed care pharmacy,prof relations,2008,0
academy of managed care pharmacy,prof relations,2009,0
academy of managed care pharmacy,prof relations,2010,0
academy of managed care pharmacy,prof relations,2011,0
academy of managed care pharmacy,prof relations,2012,0
academy of managed care pharmacy,prof relations,2013,0
academy of managed care pharmacy,prof relations,2014,0
academy of managed care pharmacy,prof relations,2015,0
academy of managed care pharmacy,professional rels,2002,0
academy of managed care pharmacy,professional rels,2003,0
academy of managed care pharmacy,professional rels,2004,9500
academy of managed care pharmacy,professional rels,2005,0
academy of managed care pharmacy,professional rels,2006,0
academy of managed care pharmacy,professional rels,2007,0
academy of managed care pharmacy,professional rels,2008,0
academy of managed care pharmacy,professional rels,2009,0
academy of managed care pharmacy,professional rels,2010,0
academy of managed care pharmacy,professional rels,2011,0
academy of managed care pharmacy,professional rels,2012,0
academy of managed care pharmacy,professional rels,2013,0
academy of managed care pharmacy,professional rels,2014,0
academy of managed care pharmacy,professional rels,2015,0
academy of managed care pharmacy,st. gov leg  aff,2002,0
academy of managed care pharmacy,st. gov leg  aff,2003,0
academy of managed care pharmacy,st. gov leg  aff,2004,0
academy of managed care pharmacy,st. gov leg  aff,2005,0
academy of managed care pharmacy,st. gov leg  aff,2006,9500
academy of managed care pharmacy,st. gov leg  aff,2007,9500
academy of managed care pharmacy,st. gov leg  aff,2008,9500
academy of managed care pharmacy,st. gov leg  aff,2009,0
academy of managed care pharmacy,st. gov leg  aff,2010,0
academy of managed care pharmacy,st. gov leg  aff,2011,0
academy of managed care pharmacy,st. gov leg  aff,2012,0
academy of managed care pharmacy,st. gov leg  aff,2013,0
academy of managed care pharmacy,st. gov leg  aff,2014,0
academy of managed care pharmacy,st. gov leg  aff,2015,0
acp asim foundation american college of physicians,conventions,2002,0
acp asim foundation american college of physicians,conventions,2003,47850
acp asim foundation american college of physicians,conventions,2004,0
acp asim foundation american college of physicians,conventions,2005,30000
acp asim foundation american college of physicians,conventions,2006,11400
acp asim foundation american college of physicians,conventions,2007,5800
acp asim foundation american college of physicians,conventions,2008,17200
acp asim foundation american college of physicians,conventions,2009,0
acp asim foundation american college of physicians,conventions,2010,0
acp asim foundation american college of physicians,conventions,2011,0
acp asim foundation american college of physicians,conventions,2012,0
acp asim foundation american college of physicians,conventions,2013,0
acp asim foundation american college of physicians,conventions,2014,0
acp asim foundation american college of physicians,conventions,2015,0
acp asim foundation american college of physicians,lecture program,2002,30000
acp asim foundation american college of physicians,lecture program,2003,0
acp asim foundation american college of physicians,lecture program,2004,0
acp asim foundation american college of physicians,lecture program,2005,0
acp asim foundation american college of physicians,lecture program,2006,0
acp asim foundation american college of physicians,lecture program,2007,0
acp asim foundation american college of physicians,lecture program,2008,0
acp asim foundation american college of physicians,lecture program,2009,0
acp asim foundation american college of physicians,lecture program,2010,0
acp asim foundation american college of physicians,lecture program,2011,0
acp asim foundation american college of physicians,lecture program,2012,0
acp asim foundation american college of physicians,lecture program,2013,0
acp asim foundation american college of physicians,lecture program,2014,0
acp asim foundation american college of physicians,lecture program,2015,0
acp asim foundation american college of physicians,marketing,2002,0
acp asim foundation american college of physicians,marketing,2003,25000
acp asim foundation american college of physicians,marketing,2004,0
acp asim foundation american college of physicians,marketing,2005,0
acp asim foundation american college of physicians,marketing,2006,0
acp asim foundation american college of physicians,marketing,2007,0
acp asim foundation american college of physicians,marketing,2008,0
acp asim foundation american college of physicians,marketing,2009,0
acp asim foundation american college of physicians,marketing,2010,0
acp asim foundation american college of physicians,marketing,2011,0
acp asim foundation american college of physicians,marketing,2012,0
acp asim foundation american college of physicians,marketing,2013,0
acp asim foundation american college of physicians,marketing,2014,0
acp asim foundation american college of physicians,marketing,2015,0
acp asim foundation american college of physicians,medical ed,2002,0
acp asim foundation american college of physicians,medical ed,2003,0
acp asim foundation american college of physicians,medical ed,2004,0
acp asim foundation american college of physicians,medical ed,2005,25000
acp asim foundation american college of physicians,medical ed,2006,0
acp asim foundation american college of physicians,medical ed,2007,0
acp asim foundation american college of physicians,medical ed,2008,0
acp asim foundation american college of physicians,medical ed,2009,0
acp asim foundation american college of physicians,medical ed,2010,0
acp asim foundation american college of physicians,medical ed,2011,0
acp asim foundation american college of physicians,medical ed,2012,0
acp asim foundation american college of physicians,medical ed,2013,0
acp asim foundation american college of physicians,medical ed,2014,0
acp asim foundation american college of physicians,medical ed,2015,0
acp asim foundation american college of physicians,prof relations,2002,25000
acp asim foundation american college of physicians,prof relations,2003,0
acp asim foundation american college of physicians,prof relations,2004,0
acp asim foundation american college of physicians,prof relations,2005,0
acp asim foundation american college of physicians,prof relations,2006,0
acp asim foundation american college of physicians,prof relations,2007,0
acp asim foundation american college of physicians,prof relations,2008,0
acp asim foundation american college of physicians,prof relations,2009,0
acp asim foundation american college of physicians,prof relations,2010,0
acp asim foundation american college of physicians,prof relations,2011,0
acp asim foundation american college of physicians,prof relations,2012,0
acp asim foundation american college of physicians,prof relations,2013,0
acp asim foundation american college of physicians,prof relations,2014,0
acp asim foundation american college of physicians,prof relations,2015,0
addiction medicine & health advocates inc,medical rsch,2002,0
addiction medicine & health advocates inc,medical rsch,2003,0
addiction medicine & health advocates inc,medical rsch,2004,225
addiction medicine & health advocates inc,medical rsch,2005,0
addiction medicine & health advocates inc,medical rsch,2006,0
addiction medicine & health advocates inc,medical rsch,2007,0
addiction medicine & health advocates inc,medical rsch,2008,0
addiction medicine & health advocates inc,medical rsch,2009,0
addiction medicine & health advocates inc,medical rsch,2010,0
addiction medicine & health advocates inc,medical rsch,2011,0
addiction medicine & health advocates inc,medical rsch,2012,0
addiction medicine & health advocates inc,medical rsch,2013,0
addiction medicine & health advocates inc,medical rsch,2014,0
addiction medicine & health advocates inc,medical rsch,2015,0
advanced practice nurses & physician assistants,conventions,2002,250
advanced practice nurses & physician assistants,conventions,2003,0
advanced practice nurses & physician assistants,conventions,2004,0
advanced practice nurses & physician assistants,conventions,2005,0
advanced practice nurses & physician assistants,conventions,2006,0
advanced practice nurses & physician assistants,conventions,2007,0
advanced practice nurses & physician assistants,conventions,2008,0
advanced practice nurses & physician assistants,conventions,2009,0
advanced practice nurses & physician assistants,conventions,2010,0
advanced practice nurses & physician assistants,conventions,2011,0
advanced practice nurses & physician assistants,conventions,2012,0
advanced practice nurses & physician assistants,conventions,2013,0
advanced practice nurses & physician assistants,conventions,2014,0
advanced practice nurses & physician assistants,conventions,2015,0
advanced practice nurses of the ozarks,conventions,2002,0
advanced practice nurses of the ozarks,conventions,2003,0
advanced practice nurses of the ozarks,conventions,2004,0
advanced practice nurses of the ozarks,conventions,2005,0
advanced practice nurses of the ozarks,conventions,2006,0
advanced practice nurses of the ozarks,conventions,2007,500
advanced practice nurses of the ozarks,conventions,2008,0
advanced practice nurses of the ozarks,conventions,2009,0
advanced practice nurses of the ozarks,conventions,2010,0
advanced practice nurses of the ozarks,conventions,2011,0
advanced practice nurses of the ozarks,conventions,2012,0
advanced practice nurses of the ozarks,conventions,2013,0
advanced practice nurses of the ozarks,conventions,2014,0
advanced practice nurses of the ozarks,conventions,2015,0
alabama academy of family  physicians,conventions,2002,0
alabama academy of family  physicians,conventions,2003,825
alabama academy of family  physicians,conventions,2004,850
alabama academy of family  physicians,conventions,2005,850
alabama academy of family  physicians,conventions,2006,0
alabama academy of family  physicians,conventions,2007,0
alabama academy of family  physicians,conventions,2008,0
alabama academy of family  physicians,conventions,2009,0
alabama academy of family  physicians,conventions,2010,0
alabama academy of family  physicians,conventions,2011,0
alabama academy of family  physicians,conventions,2012,0
alabama academy of family  physicians,conventions,2013,1200
alabama academy of family  physicians,conventions,2014,1200
alabama academy of family  physicians,conventions,2015,0
alabama academy of family  physicians,medical ed,2002,2800
alabama academy of family  physicians,medical ed,2003,0
alabama academy of family  physicians,medical ed,2004,0
alabama academy of family  physicians,medical ed,2005,0
alabama academy of family  physicians,medical ed,2006,0
alabama academy of family  physicians,medical ed,2007,0
alabama academy of family  physicians,medical ed,2008,0
alabama academy of family  physicians,medical ed,2009,0
alabama academy of family  physicians,medical ed,2010,0
alabama academy of family  physicians,medical ed,2011,0
alabama academy of family  physicians,medical ed,2012,0
alabama academy of family  physicians,medical ed,2013,0
alabama academy of family  physicians,medical ed,2014,0
alabama academy of family  physicians,medical ed,2015,0
alabama assoc of chiefs of police c/o treasurer,lele,2002,0
alabama assoc of chiefs of police c/o treasurer,lele,2003,0
alabama assoc of chiefs of police c/o treasurer,lele,2004,550
alabama assoc of chiefs of police c/o treasurer,lele,2005,0
alabama assoc of chiefs of police c/o treasurer,lele,2006,0
alabama assoc of chiefs of police c/o treasurer,lele,2007,0
alabama assoc of chiefs of police c/o treasurer,lele,2008,0
alabama assoc of chiefs of police c/o treasurer,lele,2009,0
alabama assoc of chiefs of police c/o treasurer,lele,2010,0
alabama assoc of chiefs of police c/o treasurer,lele,2011,0
alabama assoc of chiefs of police c/o treasurer,lele,2012,0
alabama assoc of chiefs of police c/o treasurer,lele,2013,0
alabama assoc of chiefs of police c/o treasurer,lele,2014,0
alabama assoc of chiefs of police c/o treasurer,lele,2015,0
alabama chapter american college of physicians,conventions,2002,0
alabama chapter american college of physicians,conventions,2003,800
alabama chapter american college of physicians,conventions,2004,0
alabama chapter american college of physicians,conventions,2005,0
alabama chapter american college of physicians,conventions,2006,0
alabama chapter american college of physicians,conventions,2007,0
alabama chapter american college of physicians,conventions,2008,0
alabama chapter american college of physicians,conventions,2009,0
alabama chapter american college of physicians,conventions,2010,0
alabama chapter american college of physicians,conventions,2011,0
alabama chapter american college of physicians,conventions,2012,0
alabama chapter american college of physicians,conventions,2013,0
alabama chapter american college of physicians,conventions,2014,0
alabama chapter american college of physicians,conventions,2015,0
alabama chapter american college of physicians,lecture program,2002,800
alabama chapter american college of physicians,lecture program,2003,0
alabama chapter american college of physicians,lecture program,2004,0
alabama chapter american college of physicians,lecture program,2005,0
alabama chapter american college of physicians,lecture program,2006,0
alabama chapter american college of physicians,lecture program,2007,0
alabama chapter american college of physicians,lecture program,2008,0
alabama chapter american college of physicians,lecture program,2009,0
alabama chapter american college of physicians,lecture program,2010,0
alabama chapter american college of physicians,lecture program,2011,0
alabama chapter american college of physicians,lecture program,2012,0
alabama chapter american college of physicians,lecture program,2013,0
alabama chapter american college of physicians,lecture program,2014,0
alabama chapter american college of physicians,lecture program,2015,0
alabama medical directors assoc,conventions,2002,0
alabama medical directors assoc,conventions,2003,500
alabama medical directors assoc,conventions,2004,1050
alabama medical directors assoc,conventions,2005,0
alabama medical directors assoc,conventions,2006,850
alabama medical directors assoc,conventions,2007,0
alabama medical directors assoc,conventions,2008,0
alabama medical directors assoc,conventions,2009,0
alabama medical directors assoc,conventions,2010,400
alabama medical directors assoc,conventions,2011,0
alabama medical directors assoc,conventions,2012,0
alabama medical directors assoc,conventions,2013,0
alabama medical directors assoc,conventions,2014,0
alabama medical directors assoc,conventions,2015,0
alabama medical directors assoc,managedcare ff,2002,500
alabama medical directors assoc,managedcare ff,2003,0
alabama medical directors assoc,managedcare ff,2004,0
alabama medical directors assoc,managedcare ff,2005,0
alabama medical directors assoc,managedcare ff,2006,0
alabama medical directors assoc,managedcare ff,2007,0
alabama medical directors assoc,managedcare ff,2008,0
alabama medical directors assoc,managedcare ff,2009,0
alabama medical directors assoc,managedcare ff,2010,0
alabama medical directors assoc,managedcare ff,2011,0
alabama medical directors assoc,managedcare ff,2012,0
alabama medical directors assoc,managedcare ff,2013,0
alabama medical directors assoc,managedcare ff,2014,0
alabama medical directors assoc,managedcare ff,2015,0
alabama osteopathic medical assoc,conventions,2002,0
alabama osteopathic medical assoc,conventions,2003,1150
alabama osteopathic medical assoc,conventions,2004,0
alabama osteopathic medical assoc,conventions,2005,0
alabama osteopathic medical assoc,conventions,2006,0
alabama osteopathic medical assoc,conventions,2007,1000
alabama osteopathic medical assoc,conventions,2008,0
alabama osteopathic medical assoc,conventions,2009,0
alabama osteopathic medical assoc,conventions,2010,0
alabama osteopathic medical assoc,conventions,2011,0
alabama osteopathic medical assoc,conventions,2012,1000
alabama osteopathic medical assoc,conventions,2013,0
alabama osteopathic medical assoc,conventions,2014,1000
alabama osteopathic medical assoc,conventions,2015,0
alabama osteopathic medical assoc,lecture program,2002,3500
alabama osteopathic medical assoc,lecture program,2003,0
alabama osteopathic medical assoc,lecture program,2004,0
alabama osteopathic medical assoc,lecture program,2005,0
alabama osteopathic medical assoc,lecture program,2006,0
alabama osteopathic medical assoc,lecture program,2007,0
alabama osteopathic medical assoc,lecture program,2008,0
alabama osteopathic medical assoc,lecture program,2009,0
alabama osteopathic medical assoc,lecture program,2010,0
alabama osteopathic medical assoc,lecture program,2011,0
alabama osteopathic medical assoc,lecture program,2012,0
alabama osteopathic medical assoc,lecture program,2013,0
alabama osteopathic medical assoc,lecture program,2014,0
alabama osteopathic medical assoc,lecture program,2015,0
alabama pharmacy assoc,conventions,2002,0
alabama pharmacy assoc,conventions,2003,820
alabama pharmacy assoc,conventions,2004,800
alabama pharmacy assoc,conventions,2005,1020
alabama pharmacy assoc,conventions,2006,0
alabama pharmacy assoc,conventions,2007,0
alabama pharmacy assoc,conventions,2008,0
alabama pharmacy assoc,conventions,2009,0
alabama pharmacy assoc,conventions,2010,0
alabama pharmacy assoc,conventions,2011,0
alabama pharmacy assoc,conventions,2012,0
alabama pharmacy assoc,conventions,2013,0
alabama pharmacy assoc,conventions,2014,0
alabama pharmacy assoc,conventions,2015,0
alabama soc of clinical oncology,conventions,2002,0
alabama soc of clinical oncology,conventions,2003,750
alabama soc of clinical oncology,conventions,2004,0
alabama soc of clinical oncology,conventions,2005,0
alabama soc of clinical oncology,conventions,2006,0
alabama soc of clinical oncology,conventions,2007,0
alabama soc of clinical oncology,conventions,2008,0
alabama soc of clinical oncology,conventions,2009,0
alabama soc of clinical oncology,conventions,2010,0
alabama soc of clinical oncology,conventions,2011,0
alabama soc of clinical oncology,conventions,2012,0
alabama soc of clinical oncology,conventions,2013,0
alabama soc of clinical oncology,conventions,2014,0
alabama soc of clinical oncology,conventions,2015,0
alabama soc of clinical oncology,lecture program,2002,5050
alabama soc of clinical oncology,lecture program,2003,0
alabama soc of clinical oncology,lecture program,2004,0
alabama soc of clinical oncology,lecture program,2005,0
alabama soc of clinical oncology,lecture program,2006,0
alabama soc of clinical oncology,lecture program,2007,0
alabama soc of clinical oncology,lecture program,2008,0
alabama soc of clinical oncology,lecture program,2009,0
alabama soc of clinical oncology,lecture program,2010,0
alabama soc of clinical oncology,lecture program,2011,0
alabama soc of clinical oncology,lecture program,2012,0
alabama soc of clinical oncology,lecture program,2013,0
alabama soc of clinical oncology,lecture program,2014,0
alabama soc of clinical oncology,lecture program,2015,0
alabama society of health system pharmacists,conventions,2002,0
alabama society of health system pharmacists,conventions,2003,0
alabama society of health system pharmacists,conventions,2004,625
alabama society of health system pharmacists,conventions,2005,0
alabama society of health system pharmacists,conventions,2006,0
alabama society of health system pharmacists,conventions,2007,0
alabama society of health system pharmacists,conventions,2008,0
alabama society of health system pharmacists,conventions,2009,0
alabama society of health system pharmacists,conventions,2010,0
alabama society of health system pharmacists,conventions,2011,0
alabama society of health system pharmacists,conventions,2012,0
alabama society of health system pharmacists,conventions,2013,0
alabama society of health system pharmacists,conventions,2014,0
alabama society of health system pharmacists,conventions,2015,0
alabama society of health system pharmacists,lecture program,2002,625
alabama society of health system pharmacists,lecture program,2003,0
alabama society of health system pharmacists,lecture program,2004,0
alabama society of health system pharmacists,lecture program,2005,0
alabama society of health system pharmacists,lecture program,2006,0
alabama society of health system pharmacists,lecture program,2007,0
alabama society of health system pharmacists,lecture program,2008,0
alabama society of health system pharmacists,lecture program,2009,0
alabama society of health system pharmacists,lecture program,2010,0
alabama society of health system pharmacists,lecture program,2011,0
alabama society of health system pharmacists,lecture program,2012,0
alabama society of health system pharmacists,lecture program,2013,0
alabama society of health system pharmacists,lecture program,2014,0
alabama society of health system pharmacists,lecture program,2015,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2002,1000
alabama society of phyiscal medicine & rehabilitation,lecture program,2003,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2004,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2005,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2006,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2007,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2008,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2009,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2010,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2011,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2012,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2013,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2014,0
alabama society of phyiscal medicine & rehabilitation,lecture program,2015,0
alabama society of physical medicine,medical ed,2002,2500
alabama society of physical medicine,medical ed,2003,0
alabama society of physical medicine,medical ed,2004,0
alabama society of physical medicine,medical ed,2005,0
alabama society of physical medicine,medical ed,2006,0
alabama society of physical medicine,medical ed,2007,0
alabama society of physical medicine,medical ed,2008,0
alabama society of physical medicine,medical ed,2009,0
alabama society of physical medicine,medical ed,2010,0
alabama society of physical medicine,medical ed,2011,0
alabama society of physical medicine,medical ed,2012,0
alabama society of physical medicine,medical ed,2013,0
alabama society of physical medicine,medical ed,2014,0
alabama society of physical medicine,medical ed,2015,0
alabama state board of pharmacy,general counsel,2002,700
alabama state board of pharmacy,general counsel,2003,350
alabama state board of pharmacy,general counsel,2004,1550
alabama state board of pharmacy,general counsel,2005,200
alabama state board of pharmacy,general counsel,2006,2200
alabama state board of pharmacy,general counsel,2007,0
alabama state board of pharmacy,general counsel,2008,0
alabama state board of pharmacy,general counsel,2009,0
alabama state board of pharmacy,general counsel,2010,3300
alabama state board of pharmacy,general counsel,2011,0
alabama state board of pharmacy,general counsel,2012,3300
alabama state board of pharmacy,general counsel,2013,0
alabama state board of pharmacy,general counsel,2014,2200
alabama state board of pharmacy,general counsel,2015,0
alabama state society of anesthesiologists,conventions,2002,0
alabama state society of anesthesiologists,conventions,2003,800
alabama state society of anesthesiologists,conventions,2004,0
alabama state society of anesthesiologists,conventions,2005,0
alabama state society of anesthesiologists,conventions,2006,0
alabama state society of anesthesiologists,conventions,2007,0
alabama state society of anesthesiologists,conventions,2008,0
alabama state society of anesthesiologists,conventions,2009,0
alabama state society of anesthesiologists,conventions,2010,0
alabama state society of anesthesiologists,conventions,2011,0
alabama state society of anesthesiologists,conventions,2012,0
alabama state society of anesthesiologists,conventions,2013,0
alabama state society of anesthesiologists,conventions,2014,0
alabama state society of anesthesiologists,conventions,2015,0
alabama state society of anesthesiologists,lecture program,2002,800
alabama state society of anesthesiologists,lecture program,2003,0
alabama state society of anesthesiologists,lecture program,2004,0
alabama state society of anesthesiologists,lecture program,2005,0
alabama state society of anesthesiologists,lecture program,2006,0
alabama state society of anesthesiologists,lecture program,2007,0
alabama state society of anesthesiologists,lecture program,2008,0
alabama state society of anesthesiologists,lecture program,2009,0
alabama state society of anesthesiologists,lecture program,2010,0
alabama state society of anesthesiologists,lecture program,2011,0
alabama state society of anesthesiologists,lecture program,2012,0
alabama state society of anesthesiologists,lecture program,2013,0
alabama state society of anesthesiologists,lecture program,2014,0
alabama state society of anesthesiologists,lecture program,2015,0
alaska academy of physician,medical ed,2002,0
alaska academy of physician,medical ed,2003,0
alaska academy of physician,medical ed,2004,0
alaska academy of physician,medical ed,2005,0
alaska academy of physician,medical ed,2006,0
alaska academy of physician,medical ed,2007,0
alaska academy of physician,medical ed,2008,5000
alaska academy of physician,medical ed,2009,0
alaska academy of physician,medical ed,2010,0
alaska academy of physician,medical ed,2011,0
alaska academy of physician,medical ed,2012,0
alaska academy of physician,medical ed,2013,0
alaska academy of physician,medical ed,2014,0
alaska academy of physician,medical ed,2015,0
alaska nurse practitioner assoc,conventions,2002,0
alaska nurse practitioner assoc,conventions,2003,0
alaska nurse practitioner assoc,conventions,2004,500
alaska nurse practitioner assoc,conventions,2005,0
alaska nurse practitioner assoc,conventions,2006,0
alaska nurse practitioner assoc,conventions,2007,0
alaska nurse practitioner assoc,conventions,2008,0
alaska nurse practitioner assoc,conventions,2009,0
alaska nurse practitioner assoc,conventions,2010,0
alaska nurse practitioner assoc,conventions,2011,0
alaska nurse practitioner assoc,conventions,2012,0
alaska nurse practitioner assoc,conventions,2013,0
alaska nurse practitioner assoc,conventions,2014,0
alaska nurse practitioner assoc,conventions,2015,0
alaska nurse practitioner assoc,lecture program,2002,1000
alaska nurse practitioner assoc,lecture program,2003,0
alaska nurse practitioner assoc,lecture program,2004,0
alaska nurse practitioner assoc,lecture program,2005,0
alaska nurse practitioner assoc,lecture program,2006,0
alaska nurse practitioner assoc,lecture program,2007,0
alaska nurse practitioner assoc,lecture program,2008,0
alaska nurse practitioner assoc,lecture program,2009,0
alaska nurse practitioner assoc,lecture program,2010,0
alaska nurse practitioner assoc,lecture program,2011,0
alaska nurse practitioner assoc,lecture program,2012,0
alaska nurse practitioner assoc,lecture program,2013,0
alaska nurse practitioner assoc,lecture program,2014,0
alaska nurse practitioner assoc,lecture program,2015,0
alaska nurse practitioner assoc,medical ed,2002,0
alaska nurse practitioner assoc,medical ed,2003,0
alaska nurse practitioner assoc,medical ed,2004,1000
alaska nurse practitioner assoc,medical ed,2005,0
alaska nurse practitioner assoc,medical ed,2006,0
alaska nurse practitioner assoc,medical ed,2007,0
alaska nurse practitioner assoc,medical ed,2008,0
alaska nurse practitioner assoc,medical ed,2009,0
alaska nurse practitioner assoc,medical ed,2010,0
alaska nurse practitioner assoc,medical ed,2011,0
alaska nurse practitioner assoc,medical ed,2012,0
alaska nurse practitioner assoc,medical ed,2013,0
alaska nurse practitioner assoc,medical ed,2014,0
alaska nurse practitioner assoc,medical ed,2015,0
alaska nurse practitioner associati,conventions,2002,0
alaska nurse practitioner associati,conventions,2003,0
alaska nurse practitioner associati,conventions,2004,0
alaska nurse practitioner associati,conventions,2005,0
alaska nurse practitioner associati,conventions,2006,0
alaska nurse practitioner associati,conventions,2007,750
alaska nurse practitioner associati,conventions,2008,750
alaska nurse practitioner associati,conventions,2009,750
alaska nurse practitioner associati,conventions,2010,0
alaska nurse practitioner associati,conventions,2011,0
alaska nurse practitioner associati,conventions,2012,0
alaska nurse practitioner associati,conventions,2013,0
alaska nurse practitioner associati,conventions,2014,0
alaska nurse practitioner associati,conventions,2015,0
alaska osteopathic medical assoc,conventions,2002,0
alaska osteopathic medical assoc,conventions,2003,0
alaska osteopathic medical assoc,conventions,2004,0
alaska osteopathic medical assoc,conventions,2005,0
alaska osteopathic medical assoc,conventions,2006,0
alaska osteopathic medical assoc,conventions,2007,0
alaska osteopathic medical assoc,conventions,2008,0
alaska osteopathic medical assoc,conventions,2009,0
alaska osteopathic medical assoc,conventions,2010,0
alaska osteopathic medical assoc,conventions,2011,0
alaska osteopathic medical assoc,conventions,2012,800
alaska osteopathic medical assoc,conventions,2013,0
alaska osteopathic medical assoc,conventions,2014,0
alaska osteopathic medical assoc,conventions,2015,0
alaska osteopathic medical assoc,medical ed,2002,7000
alaska osteopathic medical assoc,medical ed,2003,7000
alaska osteopathic medical assoc,medical ed,2004,0
